RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
34	3352.7	3.05E+01	5.66E-01	5.15E+09	0.00E+00	3.67E-04	2.30E-01	1.86E+01	8.85E-01	5.19E+01	2.36E-05	4.295	3.85E-01	1.15E+02
35	3340.3	3.04E+01	6.38E-01	5.80E+09	0.00E+00	8.94E-03	2.31E-01	2.42E+01	8.89E-01	6.27E+01	2.99E-05	54.315	7.55E-01	2.26E+02
36	2835.5	3.03E+01	5.14E-01	5.49E+09	0.00E+00	5.84E-03	2.64E-01	2.23E+01	8.25E-01	5.28E+01	1.84E-05	47.492	5.34E-01	1.88E+02
37	2489.2	3.06E+01	4.69E-01	5.77E+09	0.00E+00	5.86E-03	2.61E-01	2.46E+01	8.49E-01	5.83E+01	1.86E-05	54.848	4.72E-01	1.90E+02
38	3954.7	3.03E+01	7.96E-01	6.10E+09	5.40E-08	8.18E-03	2.64E-01	2.10E+01	8.25E-01	5.51E+01	2.53E-05	45.646	7.93E-01	2.01E+02
39	4040.4	3.04E+01	7.05E-01	5.31E+09	0.00E+00	6.31E-03	2.30E-01	2.04E+01	8.22E-01	5.22E+01	2.67E-05	38.055	6.95E-01	1.72E+02
40	4196.9	3.04E+01	7.26E-01	5.25E+09	1.99E-07	9.93E-03	2.31E-01	1.82E+01	8.89E-01	5.28E+01	3.07E-05	54.315	8.05E-01	1.92E+02
41	4053.2	3.01E+01	7.27E-01	5.40E+09	3.92E-08	8.91E-03	2.33E-01	1.63E+01	8.31E-01	4.91E+01	2.34E-05	53.123	7.40E-01	1.83E+02
42	3535.4	3.00E+01	-1.38E-05	-1.17E+05	0.00E+00	4.02E-03	2.00E-01	1.21E+01	8.01E-01	1.21E+01	7.63E-06	30.787	5.17E-01	1.46E+02
43	5060.3	3.01E+01	8.16E-01	4.86E+09	0.00E+00	1.44E-02	2.32E-01	1.69E+01	8.63E-01	4.78E+01	3.10E-05	58.234	1.18E+00	2.33E+02
44	7023.2	3.01E+01	1.29E+00	5.53E+09	5.57E-07	2.06E-02	2.66E-01	1.58E+01	8.31E-01	4.78E+01	3.88E-05	61.257	1.57E+00	2.23E+02
45	4770.3	3.02E+01	8.88E-01	5.61E+09	3.90E-07	9.57E-03	2.65E-01	1.86E+01	8.62E-01	5.24E+01	3.14E-05	46.899	9.06E-01	1.90E+02
46	3813.6	3.03E+01	7.31E-01	5.81E+09	-4.91E-09	8.72E-03	2.64E-01	2.11E+01	8.25E-01	5.36E+01	2.40E-05	48.747	8.23E-01	2.16E+02
47	4060.1	3.06E+01	7.26E-01	5.46E+09	1.77E-07	1.07E-02	2.62E-01	1.90E+01	8.18E-01	5.00E+01	2.44E-05	57.741	8.36E-01	2.06E+02
48	3123.1	3.05E+01	5.90E-01	5.77E+09	-7.36E-09	7.09E-03	2.62E-01	2.33E+01	8.19E-01	5.50E+01	2.07E-05	48.526	6.60E-01	2.11E+02
49	3843.5	3.03E+01	7.41E-01	5.84E+09	0.00E+00	9.67E-03	2.64E-01	2.11E+01	8.25E-01	5.34E+01	2.46E-05	50.957	8.81E-01	2.29E+02
50	3857.9	3.01E+01	7.13E-01	5.56E+09	0.00E+00	9.57E-03	2.33E-01	2.02E+01	8.31E-01	5.33E+01	2.53E-05	54.57	7.88E-01	2.04E+02
51	3486.4	3.03E+01	5.95E-01	5.18E+09	6.38E-07	8.42E-03	2.97E-01	1.94E+01	8.58E-01	4.77E+01	1.97E-05	54.354	6.99E-01	2.01E+02
52	3788.8	3.02E+01	6.98E-01	5.57E+09	4.51E-07	9.83E-03	2.65E-01	1.58E+01	8.60E-01	4.95E+01	2.23E-05	55.489	7.86E-01	2.08E+02
53	3323.5	3.06E+01	5.72E-01	5.25E+09	0.00E+00	7.81E-03	2.62E-01	2.18E+01	8.51E-01	5.17E+01	2.21E-05	52.046	6.52E-01	1.96E+02
