RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
36	3246.1	3.03E+01	6.23E-01	5.82E+09	9.81E-09	5.68E-03	2.31E-01	2.18E+01	8.57E-01	5.91E+01	2.53E-05	40.211	6.04E-01	1.86E+02
37	3578	3.08E+01	5.42E-01	4.67E+09	2.55E-07	8.82E-03	2.27E-01	1.40E+01	9.08E-01	4.55E+01	2.26E-05	49.886	7.95E-01	2.22E+02
38	2891.1	3.11E+01	4.83E-01	5.19E+09	-9.81E-09	1.02E-04	2.25E-01	2.21E+01	8.69E-01	5.53E+01	2.24E-05	1.931	2.92E-01	1.01E+02
39	4967.4	3.05E+01	9.33E-01	5.72E+09	8.09E-08	1.16E-02	2.63E-01	1.88E+01	8.54E-01	5.37E+01	3.25E-05	49.458	1.08E+00	2.17E+02
40	3700.1	3.03E+01	6.56E-01	5.38E+09	0.00E+00	5.20E-03	2.64E-01	2.17E+01	8.25E-01	5.16E+01	2.30E-05	35.092	5.54E-01	1.50E+02
41	5749.8	3.05E+01	1.07E+00	5.67E+09	0.00E+00	1.10E-02	2.30E-01	2.02E+01	8.54E-01	5.49E+01	4.06E-05	43.317	1.10E+00	1.92E+02
42	3756.6	3.09E+01	7.00E-01	5.76E+09	0.00E+00	5.94E-03	2.27E-01	2.00E+01	9.06E-01	5.86E+01	3.13E-05	37.67	6.43E-01	1.71E+02
43	3660.7	3.08E+01	6.87E-01	5.78E+09	1.91E-07	8.14E-03	2.27E-01	1.78E+01	9.08E-01	5.72E+01	2.96E-05	46.675	7.71E-01	2.11E+02
44	6132	3.08E+01	1.12E+00	5.65E+09	2.62E-07	1.33E-02	3.24E-01	2.06E+01	9.08E-01	5.30E+01	4.14E-05	47.811	1.21E+00	1.98E+02
45	4230	3.03E+01	8.09E-01	5.80E+09	8.83E-08	6.75E-03	2.31E-01	1.71E+01	8.58E-01	5.40E+01	2.90E-05	38.964	7.31E-01	1.73E+02
46	3375.3	3.08E+01	6.85E-01	6.25E+09	0.00E+00	6.62E-03	2.93E-01	2.91E+01	8.78E-01	6.57E+01	2.89E-05	41.436	6.62E-01	1.96E+02
47	4667.7	3.09E+01	9.31E-01	6.16E+09	4.02E-07	1.17E-02	2.59E-01	1.99E+01	8.09E-01	5.44E+01	2.97E-05	52.412	9.79E-01	2.10E+02
48	5045.3	3.06E+01	8.94E-01	5.41E+09	5.89E-08	9.31E-03	2.62E-01	1.86E+01	8.18E-01	4.89E+01	2.89E-05	43.044	9.44E-01	1.87E+02
49	3864.6	3.05E+01	7.32E-01	5.77E+09	6.62E-08	6.93E-03	2.63E-01	2.01E+01	8.86E-01	5.66E+01	2.86E-05	42.632	6.81E-01	1.76E+02
50	4610.2	3.03E+01	7.82E-01	5.14E+09	0.00E+00	9.66E-03	2.64E-01	1.88E+01	8.25E-01	4.76E+01	2.58E-05	48.68	8.81E-01	1.91E+02
51	3452.4	3.05E+01	5.26E-01	4.64E+09	3.78E-07	8.84E-03	2.63E-01	1.71E+01	8.86E-01	4.56E+01	2.02E-05	53.561	7.51E-01	2.18E+02
52	3943.7	3.06E+01	7.34E-01	5.69E+09	-2.21E-08	9.04E-03	2.61E-01	2.18E+01	8.50E-01	5.54E+01	2.74E-05	48.529	8.45E-01	2.14E+02
53	2848.8	3.02E+01	5.54E-01	5.88E+09	0.00E+00	4.15E-03	2.65E-01	2.45E+01	8.60E-01	5.87E+01	2.14E-05	35.648	4.76E-01	1.67E+02
54	4894.9	3.01E+01	8.72E-01	5.36E+09	6.16E-07	4.54E-03	2.33E-01	1.32E+01	8.64E-01	4.77E+01	2.88E-05	26.097	6.54E-01	1.34E+02
55	4691.7	3.02E+01	9.75E-01	6.28E+09	3.14E-07	9.10E-03	2.65E-01	2.00E+01	8.27E-01	5.54E+01	3.01E-05	41.529	9.87E-01	2.10E+02
56	2557	3.04E+01	4.67E-01	5.55E+09	3.41E-07	6.64E-03	2.31E-01	8.63E+00	8.89E-01	4.47E+01	1.39E-05	55.072	5.36E-01	2.10E+02
57	4610.4	3.01E+01	8.47E-01	5.53E+09	0.00E+00	1.18E-02	2.33E-01	2.00E+01	8.31E-01	5.35E+01	3.09E-05	54.337	1.01E+00	2.18E+02
58	5762	3.07E+01	1.01E+00	5.36E+09	9.86E-07	1.05E-02	2.94E-01	1.40E+01	9.14E-01	4.65E+01	3.34E-05	41.794	1.10E+00	1.91E+02
59	4277	3.00E+01	6.56E-03	4.60E+07	0.00E+00	9.77E-03	2.34E-01	1.41E+01	8.34E-01	1.43E+01	1.09E-05	49.466	8.78E-01	2.05E+02
60	4791.8	3.00E+01	3.45E-01	2.16E+09	6.82E-07	8.31E-03	2.00E-01	9.62E+00	8.34E-01	2.49E+01	1.21E-05	39.126	9.28E-01	1.94E+02
61	4788.7	3.02E+01	9.58E-01	6.05E+09	8.09E-08	1.05E-02	2.32E-01	1.84E+01	8.27E-01	5.40E+01	3.19E-05	47.106	1.01E+00	2.10E+02
62	3774.1	3.03E+01	6.63E-01	5.31E+09	1.32E-07	6.51E-03	2.64E-01	1.92E+01	8.59E-01	5.12E+01	2.39E-05	43.622	6.11E-01	1.62E+02
63	2912.8	3.06E+01	5.57E-01	5.86E+09	0.00E+00	8.47E-03	2.61E-01	2.61E+01	8.49E-01	6.06E+01	2.26E-05	58.309	6.65E-01	2.28E+02
64	2801.9	3.06E+01	5.17E-01	5.65E+09	4.51E-07	5.66E-03	2.61E-01	1.75E+01	8.50E-01	5.04E+01	1.71E-05	43.562	5.70E-01	2.03E+02
65	3380.5	3.02E+01	6.75E-01	6.03E+09	2.45E-08	7.57E-03	2.32E-01	1.99E+01	8.61E-01	5.72E+01	2.48E-05	47.864	7.07E-01	2.09E+02
66	2949.4	3.09E+01	5.72E-01	6.00E+09	0.00E+00	6.54E-03	2.27E-01	2.51E+01	9.06E-01	6.64E+01	2.89E-05	45.372	6.38E-01	2.16E+02
67	3318.1	3.03E+01	5.61E-01	5.12E+09	0.00E+00	7.11E-05	2.64E-01	2.16E+01	8.92E-01	5.38E+01	2.42E-05	1.519	2.69E-01	8.12E+01
68	2263.5	3.05E+01	4.71E-01	6.34E+09	0.00E+00	5.99E-03	2.30E-01	2.73E+01	8.54E-01	6.57E+01	2.00E-05	49.458	5.36E-01	2.37E+02
69	3254.3	3.02E+01	5.51E-01	5.10E+09	0.00E+00	7.51E-03	2.65E-01	2.11E+01	8.95E-01	5.25E+01	2.29E-05	47.812	7.52E-01	2.31E+02
70	3554.9	3.03E+01	6.06E-01	5.16E+09	2.45E-08	8.23E-03	2.64E-01	1.93E+01	8.92E-01	5.12E+01	2.42E-05	53.305	6.76E-01	1.90E+02
71														
72	3961	3.04E+01	7.56E-01	5.80E+09	0.00E+00	1.14E-02	2.96E-01	2.75E+01	8.22E-01	5.82E+01	2.77E-05	57.909	8.84E-01	2.23E+02
73	4415.9	3.02E+01	7.53E-01	5.14E+09	1.42E-07	8.77E-03	2.32E-01	1.48E+01	8.62E-01	4.68E+01	2.57E-05	45.045	8.58E-01	1.94E+02
74	4397.2	3.01E+01	8.22E-01	5.63E+09	0.00E+00	8.29E-03	2.33E-01	1.87E+01	8.30E-01	5.31E+01	2.91E-05	42.046	9.01E-01	2.05E+02
75	2788.3	3.04E+01	5.10E-01	5.57E+09	1.47E-07	6.01E-03	2.63E-01	2.46E+01	8.55E-01	5.81E+01	2.13E-05	50.066	5.21E-01	1.87E+02
