RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
34	3311.2	3.0170e+001	5.770e-001	5.257e+009	2.453e-008	6.436e-003	2.320e-001	1.852e+001	8.286e-001	5.037e+001	2.079e-005	42.691	6.760e-001	2.041e+002
35	4563	3.0190e+001	7.668e-001	5.074e+009	4.464e-007	1.083e-002	2.319e-001	1.408e+001	8.281e-001	4.547e+001	2.476e-005	50.348	9.688e-001	2.123e+002
36	4635.7	3.0160e+001	8.795e-001	5.722e+009	0.000e+000	8.624e-003	2.653e-001	2.254e+001	8.621e-001	5.767e+001	3.394e-005	41.214	9.119e-001	1.967e+002
37														
38	4247.2	3.0070e+001	6.990e-001	4.949e+009	0.000e+000	1.203e-002	2.328e-001	1.709e+001	8.646e-001	4.816e+001	2.625e-005	57.167	9.884e-001	2.327e+002
39	3841.4	3.0090e+001	6.177e-001	4.839e+009	-2.94E-08	5.917e-003	2.326e-001	1.609e+001	8.308e-001	4.482e+001	2.123e-005	37.488	6.760e-001	1.760e+002
40	3105.4	3.0200e+001	5.051e-001	4.912e+009	0.000e+000	5.089e-003	2.318e-001	1.801e+001	8.278e-001	4.723e+001	1.835e-005	41.424	5.146e-001	1.657e+002
41	2781.1	3.0360e+001	4.651e-001	5.077e+009	2.306e-007	6.161e-003	2.964e-001	2.187e+001	8.893e-001	5.221e+001	1.888e-005	51.647	5.239e-001	1.884e+002
42	4696.5	3.0080e+001	7.416e-001	4.750e+009	5.886e-008	7.533e-003	2.660e-001	1.765e+001	8.644e-001	4.627e+001	2.721e-005	37.932	8.373e-001	1.783e+002
43	2846.8	3.0160e+001	4.824e-001	5.110e+009	3.115e-007	6.230e-003	2.653e-001	2.033e+001	8.621e-001	5.135e+001	1.843e-005	50.497	5.283e-001	1.856e+002
44	2812	3.0070e+001	5.231e-001	5.594e+009	0.000e+000	5.530e-003	2.328e-001	2.250e+001	8.646e-001	5.739e+001	2.139e-005	43.565	5.538e-001	1.969e+002
45	5589.2	3.0220e+001	9.055e-001	4.896e+009	-2.94E-08	9.392e-003	2.316e-001	1.553e+001	8.273e-001	4.423e+001	3.026e-005	42.455	9.242e-001	1.653e+002
46	4020.9	3.0380e+001	6.048e-001	4.570e+009	3.090e-007	3.511e-003	2.962e-001	1.806e+001	8.887e-001	4.538e+001	2.322e-005	25.016	5.048e-001	1.255e+002
47														
48	3941	3.0080e+001	7.492e-001	5.718e+009	1.398e-007	7.535e-003	2.660e-001	1.917e+001	8.311e-001	5.165e+001	2.365e-005	45.08	7.216e-001	1.831e+002
49	3158.7	3.0080e+001	6.199e-001	5.904e+009	-1.23E-08	8.036e-003	2.660e-001	2.221e+001	8.311e-001	5.591e+001	2.112e-005	54.787	6.607e-001	2.092e+002
50	6907.3	3.0020e+001	1.188e+000	5.163e+009	0.000e+000	1.198e-002	2.332e-001	1.619e+001	8.328e-001	4.730e+001	3.920e-005	41.672	1.302e+000	1.885e+002
51	3623.6	3.0090e+001	6.627e-001	5.503e+009	1.643e-007	7.090e-003	2.326e-001	1.692e+001	8.641e-001	5.212e+001	2.388e-005	46.195	6.451e-001	1.780e+002
52	5876.8	3.0280e+001	9.527e-001	4.909e+009	8.830e-008	9.431e-003	2.642e-001	1.536e+001	8.256e-001	4.299e+001	2.977e-005	41.446	9.457e-001	1.609e+002
53	3972.2	3.0420e+001	6.540e-001	5.008e+009	3.973e-007	1.014e-002	2.630e-001	1.951e+001	8.547e-001	4.977e+001	2.510e-005	56.87	7.981e-001	2.009e+002
54	2723.3	3.0140e+001	4.524e-001	5.007e+009	2.943e-008	7.096e-003	2.654e-001	1.927e+001	8.626e-001	4.863e+001	1.677e-005	58.527	5.460e-001	2.005e+002
