RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
32	2698.8	3.0180e+001	5.391e-001	6.029e+009	0.000e+000	7.000e-003	2.651e-001	2.417e+001	8.284e-001	5.725e+001	1.887e-005	50.398	6.068e-001	2.248e+002
33	4022.4	3.0260e+001	7.463e-001	5.614e+009	5.886e-008	1.191e-002	2.644e-001	1.890e+001	8.923e-001	5.415e+001	2.829e-005	57.733	9.242e-001	2.298e+002
34	4276.1	3.0320e+001	8.537e-001	6.053e+009	0.000e+000	9.173e-003	2.639e-001	2.742e+001	8.245e-001	6.137e+001	3.183e-005	43.371	9.158e-001	2.142e+002
35	3870.3	3.0340e+001	7.565e-001	5.931e+009	4.660e-007	5.266e-004	2.966e-001	2.015e+001	8.570e-001	5.323e+001	2.428e-005	4.384	5.739e-001	1.483e+002
36	3994.9	3.0130e+001	7.397e-001	5.579e+009	3.115e-007	8.818e-003	2.655e-001	1.780e+001	8.297e-001	5.022e+001	2.325e-005	44.839	8.118e-001	2.032e+002
37	2013.9	3.0360e+001	4.115e-001	6.203e+009	5.151e-008	3.701e-004	2.306e-001	2.460e+001	8.893e-001	6.528e+001	1.845e-005	5.072	3.223e-001	1.600e+002
38	4610.4	3.0300e+001	8.119e-001	5.336e+009	2.649e-007	1.067e-002	2.640e-001	1.830e+001	8.251e-001	4.809e+001	2.611e-005	47.492	9.497e-001	2.060e+002
39														
40	2889	3.0260e+001	5.575e-001	5.839e+009	0.000e+000	7.013e-003	2.644e-001	2.326e+001	8.592e-001	5.807e+001	2.088e-005	49.042	6.161e-001	2.133e+002
41	3037.5	3.0340e+001	5.691e-001	5.684e+009	2.575e-007	1.247e-004	2.966e-001	2.487e+001	8.570e-001	5.781e+001	2.115e-005	2.076	3.483e-001	1.147e+002
42	4655.3	3.0430e+001	8.410e-001	5.497e+009	0.000e+000	8.909e-003	2.300e-001	1.844e+001	8.216e-001	5.121e+001	2.943e-005	40.158	8.673e-001	1.863e+002
43	3617.4	3.0430e+001	7.313e-001	6.152e+009	4.611e-007	8.504e-003	2.629e-001	1.844e+001	8.544e-001	5.492e+001	2.422e-005	47.289	7.216e-001	1.995e+002
44	5589.8	3.0120e+001	1.074e+000	5.785e+009	0.000e+000	1.419e-002	2.324e-001	1.773e+001	8.964e-001	5.511e+001	4.098e-005	52.092	1.202e+000	2.150e+002
45	4352	3.0210e+001	7.923e-001	5.500e+009	2.870e-007	1.102e-002	2.317e-001	1.567e+001	8.937e-001	5.174e+001	2.936e-005	53.128	8.957e-001	2.058e+002
46	3559.2	3.0300e+001	6.929e-001	5.899e+009	0.000e+000	1.094e-002	2.640e-001	2.522e+001	8.251e-001	5.816e+001	2.527e-005	55.974	8.874e-001	2.493e+002
47	3874.5	2.9980e+001	7.577e-001	5.863e+009	8.035e-006	8.838e-003	1.734e+000	3.646e+001	2.435e+000	7.774e+001	4.677e-005	48.699	8.015e-001	2.069e+002
48	3993.6	3.0340e+001	8.241e-001	6.261e+009	3.630e-007	9.051e-003	2.966e-001	2.199e+001	8.570e-001	5.712e+001	2.740e-005	44.43	8.393e-001	2.102e+002
49	4098.3	3.0220e+001	8.125e-001	5.991e+009	2.747e-007	8.161e-003	2.647e-001	1.903e+001	8.604e-001	5.434e+001	2.747e-005	43.051	8.094e-001	1.975e+002
50	3224.7	3.0250e+001	5.454e-001	5.116e+009	0.000e+000	4.571e-003	2.314e-001	1.856e+001	8.595e-001	5.035e+001	2.112e-005	33.917	5.028e-001	1.559e+002
51	2917.4	3.0450e+001	5.305e-001	5.537e+009	0.000e+000	5.295e-003	2.299e-001	1.984e+001	8.539e-001	5.381e+001	2.025e-005	39.704	5.411e-001	1.855e+002
52	4463.7	3.0030e+001	8.146e-001	5.480e+009	3.851e-007	8.740e-003	2.331e-001	1.626e+001	8.325e-001	4.934e+001	2.633e-005	43.956	8.310e-001	1.862e+002
53	3989.4	3.0300e+001	4.465e-001	3.391e+009	0.000e+000	1.660e-005	2.640e-001	2.373e+001	5.611e-001	3.271e+001	1.104e-005	0.561	1.305e-001	3.271e+001
54	3458.5	3.0160e+001	6.855e-001	5.978e+009	2.992e-007	6.584e-003	2.321e-001	1.872e+001	8.952e-001	5.844e+001	2.740e-005	41.214	6.588e-001	1.905e+002
55	4731	3.0280e+001	8.813e-001	5.641e+009	1.717e-007	1.026e-002	2.642e-001	1.887e+001	8.917e-001	5.381e+001	3.297e-005	45.476	9.320e-001	1.970e+002
56	2419	3.0300e+001	5.024e-001	6.293e+009	1.717e-007	6.665e-003	2.640e-001	1.987e+001	8.251e-001	5.516e+001	1.555e-005	52.31	5.479e-001	2.265e+002
57	3822.6	3.0180e+001	8.035e-001	6.344e+009	1.913e-007	9.867e-003	2.319e-001	2.246e+001	8.284e-001	6.185e+001	2.949e-005	51.027	8.270e-001	2.164e+002
58	4719.8	3.0120e+001	9.128e-001	5.825e+009	0.000e+000	1.410e-002	2.324e-001	2.027e+001	8.632e-001	5.747e+001	3.520e-005	54.98	1.177e+000	2.493e+002
59	3835.2	2.9980e+001	5.983e-001	4.677e+009	7.260e-007	8.022e-003	2.001e-001	8.953e+000	8.339e-001	3.696e+001	1.542e-005	42.262	7.927e-001	2.067e+002
