RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
33	3021.5	3.0630e+001	5.256e-001	5.328e+009	0.000e+000	1.462e-003	2.612e-001	2.257e+001	8.488e-001	5.406e+001	2.079e-005	12.961	4.179e-001	1.383e+002
34	4122.8	3.0470e+001	7.759e-001	5.734e+009	4.292e-007	1.053e-002	2.626e-001	1.916e+001	8.861e-001	5.497e+001	2.932e-005	53.2	8.702e-001	2.111e+002
35	2944.4	3.0550e+001	5.624e-001	5.835e+009	0.000e+000	5.992e-003	2.291e-001	2.332e+001	8.183e-001	5.748e+001	2.133e-005	41.146	6.401e-001	2.174e+002
36	3842.9	3.0090e+001	6.824e-001	5.343e+009	9.811e-009	9.658e-003	2.326e-001	1.876e+001	8.308e-001	5.131e+001	2.450e-005	52.409	8.491e-001	2.210e+002
37	3593.7	3.0450e+001	6.267e-001	5.310e+009	0.000e+000	4.901e-004	2.299e-001	1.952e+001	8.539e-001	5.228e+001	2.466e-005	4.598	4.812e-001	1.339e+002
38	3847.1	3.0060e+001	6.632e-001	5.182e+009	1.300e-007	6.216e-003	2.329e-001	1.683e+001	8.317e-001	4.833e+001	2.249e-005	37.791	6.970e-001	1.812e+002
39	2637.2	3.0400e+001	5.094e-001	5.872e+009	0.000e+000	6.205e-003	2.303e-001	2.474e+001	8.224e-001	5.915e+001	2.000e-005	47.73	5.695e-001	2.159e+002
40	4600.3	3.0030e+001	7.603e-001	4.963e+009	0.000e+000	8.955e-003	2.331e-001	1.631e+001	8.325e-001	4.521e+001	2.556e-005	45.122	9.124e-001	1.983e+002
41	3407	3.0340e+001	5.469e-001	4.870e+009	0.000e+000	5.310e-003	2.637e-001	2.102e+001	8.570e-001	4.939e+001	2.169e-005	38.827	5.631e-001	1.653e+002
42	5721.7	3.0100e+001	9.326e-001	4.906e+009	3.090e-007	2.479e-003	2.658e-001	1.655e+001	8.638e-001	4.647e+001	3.240e-005	12.259	7.486e-001	1.308e+002
43	4092.8	3.0420e+001	7.265e-001	5.400e+009	2.845e-007	9.842e-003	2.630e-001	1.930e+001	8.547e-001	5.130e+001	2.617e-005	52.268	8.236e-001	2.012e+002
44	4702.7	3.0310e+001	7.630e-001	4.918e+009	1.668e-007	7.991e-003	2.309e-001	1.711e+001	8.578e-001	4.861e+001	2.922e-005	42.263	8.133e-001	1.729e+002
45														
46	3070.4	3.0340e+001	6.126e-001	6.053e+009	1.472e-007	7.199e-003	2.966e-001	2.700e+001	8.570e-001	6.151e+001	2.317e-005	50.791	6.230e-001	2.029e+002
47	2792.6	3.0200e+001	5.022e-001	5.431e+009	1.472e-008	4.341e-003	2.318e-001	1.880e+001	8.278e-001	5.094e+001	1.760e-005	36.954	4.788e-001	1.714e+002
48	3291.7	3.0400e+001	5.946e-001	5.492e+009	2.502e-007	8.671e-003	2.632e-001	2.012e+001	8.224e-001	5.186e+001	2.018e-005	56.02	6.956e-001	2.113e+002
49	5863	3.0260e+001	1.089e+000	5.622e+009	0.000e+000	1.286e-002	2.644e-001	2.083e+001	8.923e-001	5.555e+001	4.352e-005	48.447	1.192e+000	2.033e+002
50	3773	3.0470e+001	7.251e-001	5.856e+009	2.158e-007	9.965e-003	2.626e-001	2.197e+001	8.861e-001	5.877e+001	2.926e-005	55.858	8.035e-001	2.130e+002
51	5387	2.9970e+001	9.129e-003	5.079e+007	4.415e-008	1.484e-002	2.002e-001	3.460e+000	8.342e-001	3.733e+000	3.684e-006	58.058	1.205e+000	2.237e+002
52	2942.5	3.0450e+001	5.249e-001	5.432e+009	0.000e+000	7.091e-003	2.299e-001	2.351e+001	8.539e-001	5.718e+001	2.278e-005	51.166	6.191e-001	2.104e+002
53	4664.6	3.0400e+001	8.146e-001	5.309e+009	6.917e-007	1.089e-002	2.303e-001	1.073e+001	8.224e-001	4.238e+001	2.238e-005	52.763	9.060e-001	1.942e+002
54	3468.8	3.0220e+001	5.724e-001	4.987e+009	8.069e-007	4.769e-003	2.316e-001	8.485e+000	8.273e-001	3.818e+001	1.392e-005	33.587	5.734e-001	1.653e+002
55	2554.1	3.0570e+001	4.502e-001	5.389e+009	0.000e+000	6.050e-003	2.617e-001	2.420e+001	8.505e-001	5.589e+001	1.837e-005	48.839	5.582e-001	2.186e+002
56	3814.1	3.0160e+001	6.762e-001	5.347e+009	4.268e-007	8.837e-003	2.653e-001	1.685e+001	8.621e-001	4.874e+001	2.260e-005	47.779	8.388e-001	2.199e+002
57	3225	3.0240e+001	6.347e-001	5.952e+009	0.000e+000	5.021e-003	2.315e-001	2.099e+001	8.598e-001	5.780e+001	2.413e-005	33.499	6.058e-001	1.878e+002
58	2923	3.0240e+001	5.476e-001	5.665e+009	0.000e+000	6.970e-003	2.315e-001	2.115e+001	8.598e-001	5.672e+001	2.171e-005	49.339	6.235e-001	2.133e+002
59	2702.6	3.0270e+001	4.794e-001	5.369e+009	3.434e-007	3.542e-003	2.313e-001	1.652e+001	8.259e-001	4.919e+001	1.600e-005	32.574	3.973e-001	1.470e+002
60	4619.3	3.0220e+001	7.805e-001	5.106e+009	1.913e-007	1.105e-002	2.647e-001	1.763e+001	8.273e-001	4.651e+001	2.507e-005	53.872	9.320e-001	2.018e+002
61	2864.4	3.0310e+001	5.247e-001	5.552e+009	2.232e-007	2.131e-003	2.309e-001	2.055e+001	8.578e-001	5.549e+001	2.078e-005	19.532	3.856e-001	1.346e+002
62	2618.9	3.0130e+001	5.022e-001	5.778e+009	0.000e+000	5.008e-003	2.323e-001	2.248e+001	8.297e-001	5.675e+001	1.849e-005	40.358	5.469e-001	2.088e+002
63	3743.3	3.0060e+001	6.780e-001	5.444e+009	1.226e-008	8.819e-003	2.329e-001	1.756e+001	8.317e-001	5.085e+001	2.298e-005	51.364	7.716e-001	2.061e+002
64	2875.5	3.0290e+001	5.174e-001	5.450e+009	3.041e-007	7.906e-003	2.971e-001	2.081e+001	8.584e-001	5.101e+001	1.794e-005	56.19	6.451e-001	2.243e+002
65	4184.4	3.0090e+001	7.300e-001	5.250e+009	1.006e-007	9.298e-003	2.326e-001	1.653e+001	8.641e-001	5.029e+001	2.654e-005	50.847	8.010e-001	1.914e+002
66	3971.6	3.0240e+001	6.845e-001	5.212e+009	0.000e+000	6.009e-003	2.315e-001	1.791e+001	8.267e-001	4.916e+001	2.344e-005	36.971	6.632e-001	1.670e+002
67	3721.1	3.0600e+001	6.354e-001	5.225e+009	0.000e+000	7.073e-003	2.614e-001	2.228e+001	8.497e-001	5.326e+001	2.525e-005	44.15	6.735e-001	1.810e+002
68	4260.6	2.9970e+001	6.864e-003	4.828e+007	0.000e+000	7.402e-003	2.002e-001	5.987e+000	8.342e-001	6.447e+000	4.932e-006	41.542	7.343e-001	1.724e+002
69	2760.9	3.0600e+001	4.380e-001	4.854e+009	-2.21E-08	5.095e-003	2.614e-001	2.097e+001	8.497e-001	4.957e+001	1.753e-005	43.562	4.793e-001	1.736e+002
70	3308.5	3.0170e+001	5.728e-001	5.223e+009	4.636e-007	5.177e-003	2.320e-001	1.438e+001	8.286e-001	4.359e+001	1.606e-005	36.725	6.048e-001	1.828e+002
71	2428.1	3.0470e+001	4.698e-001	5.895e+009	1.717e-007	1.790e-004	2.626e-001	2.162e+001	8.861e-001	5.838e+001	1.891e-005	2.954	3.164e-001	1.303e+002
72	4167.8	3.0380e+001	6.680e-001	4.869e+009	2.183e-007	8.756e-003	2.304e-001	1.495e+001	8.229e-001	4.390e+001	2.255e-005	49.77	7.471e-001	1.793e+002
73	5264.7	2.9970e+001	5.276e-001	3.003e+009	8.094e-007	9.490e-003	2.002e-001	4.006e+000	8.342e-001	2.329e+001	9.587e-006	36.637	1.202e+000	2.284e+002
74	6334.7	3.0420e+001	1.094e+000	5.256e+009	7.456e-007	6.066e-003	2.630e-001	1.495e+001	8.547e-001	4.631e+001	3.539e-005	25.805	8.378e-001	1.323e+002
75	3997.8	3.0280e+001	4.897e-001	3.709e+009	4.905e-009	9.499e-003	2.642e-001	1.509e+001	8.917e-001	3.890e+001	1.877e-005	51.453	8.408e-001	2.103e+002
