Summary Data Ver: 1.3
Source File: D:\20241203_NSK_IHNY_bleached_sds washed_old batch_batch 1_batch 2.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
56	56	Slot 56 : MTT Extension Method, Cycle: 1	52.90	0.983	76.85	3.960	3194.16	53.71	75.20	
57	57	Slot 57 : MTT Extension Method, Cycle: 1	61.65	2.097	87.60	2.775	4238.46	51.64	95.45	
58	58	Slot 58 : MTT Extension Method, Cycle: 1	54.04	1.831	74.53	4.349	3166.48	19.43	50.25	
59	59	Slot 59 : MTT Extension Method, Cycle: 1	67.71	0.177	110.38	1.520	5870.20	42.15	110.90	
60	60	Slot 60 : MTT Extension Method, Cycle: 1	71.42	3.069	78.54	5.084	4411.96	46.96	94.95	
61	61	Slot 61 : MTT Extension Method, Cycle: 1	63.29	0.981	94.98	8.845	4717.30	48.37	99.80	
62	62	Slot 62 : MTT Extension Method, Cycle: 1	53.67	2.517	111.54	2.411	4704.26	42.58	92.20	
63	63	Slot 63 : MTT Extension Method, Cycle: 1	63.11	2.596	103.55	3.128	5136.51	54.73	113.00	
64	64	Slot 64 : MTT Extension Method, Cycle: 1	67.45	0.829	91.88	3.622	4866.49	53.38	111.15	
65	65	Slot 65 : MTT Extension Method, Cycle: 1	73.75	1.902	82.50	0.707	4778.86	54.99	101.30	
66	66	Slot 66 : MTT Extension Method, Cycle: 1	76.04	0.000	89.75	0.000	5360.02	47.81	118.05	
67	67	Slot 67 : MTT Extension Method, Cycle: 1	71.75	0.078	120.45	6.293	6786.97	19.69	90.95	
68	68	Slot 68 : MTT Extension Method, Cycle: 1	63.80	0.964	86.51	1.031	4335.51	44.73	94.65	
69	69	Slot 69 : MTT Extension Method, Cycle: 1	59.65	0.849	77.70	1.485	3640.66	50.67	81.20	
70	70	Slot 70 : MTT Extension Method, Cycle: 1	76.75	3.401	92.87	3.635	5592.92	44.63	112.60	
71	71	Slot 71 : MTT Extension Method, Cycle: 1	63.22	2.089	118.06	3.389	5864.38	52.57	140.85	
72	72	Slot 72 : MTT Extension Method, Cycle: 1	61.10	2.014	88.21	1.505	4233.39	47.30	97.00	
73	73	Slot 73 : MTT Extension Method, Cycle: 1	74.02	6.125	102.39	2.217	5953.81	46.74	116.45	
74	74	Slot 74 : MTT Extension Method, Cycle: 1	67.70	2.542	92.11	4.533	4898.59	51.82	107.15	
75	75	Slot 75 : MTT Extension Method, Cycle: 1	58.16	1.500	84.28	1.223	3850.94	37.27	71.90	
