Three Phase Analysis Version 6.0
Source File: D:\20241209$IHNY$25 AActrl$25pys 0.01$25pys 0.03$25pys 0.05.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
75	4940.8	83.3	101.3	62.2	3.622e+009	6.041e+001	2.98	1.236e-002	6.066e+001	1.228e-002	6.030e+001	1.220e-002	2.502e-003	6.340e+001	1.283e-002	4.336e-003	18.41	2.440e+000	35.23	7.475e+001	1.513e-002	6.355e-003	4.259e+007
76	3901.0	74.6	90.5	54.9	3.818e+009	5.002e+001	3.10	1.355e-002	5.390e+001	1.382e-002	5.330e+001	1.366e-002	2.213e-003	5.580e+001	1.430e-002	3.832e-003	25.50	4.134e+000	49.16	8.360e+001	2.143e-002	8.807e-003	7.438e+007
77	3573.8	68.0	78.0	58.3	4.146e+009	4.999e+001	2.81	1.217e-002	4.497e+001	1.258e-002	4.530e+001	1.268e-002	1.840e-003	4.615e+001	1.291e-002	3.198e-003	23.80	2.719e+000	46.38	6.240e+001	1.746e-002	6.562e-003	6.078e+007
78	4132.9	75.5	91.7	57.5	4.316e+009	5.968e+001	2.69	1.204e-002	5.123e+001	1.240e-002	5.055e+001	1.223e-002	2.123e-003	5.305e+001	1.284e-002	3.673e-003	23.66	3.407e+000	45.88	7.335e+001	1.775e-002	7.573e-003	6.013e+007
79	5715.4	87.8	103.6	70.2	3.963e+009	7.537e+001	2.97	1.248e-002	7.349e+001	1.286e-002	7.265e+001	1.271e-002	3.017e-003	7.595e+001	1.329e-002	5.249e-003	27.23	5.171e+000	52.37	1.165e+002	2.037e-002	1.317e-002	7.525e+007
80	3174.1	66.7	78.3	51.6	4.078e+009	4.355e+001	2.94	1.240e-002	4.005e+001	1.262e-002	3.905e+001	1.230e-002	1.652e-003	4.145e+001	1.306e-002	2.817e-003	28.46	2.360e+000	55.40	6.025e+001	1.898e-002	7.364e-003	7.659e+007
81	2046.9	51.0	55.7	46.8	3.747e+009	2.585e+001	2.98	1.229e-002	2.576e+001	1.259e-002	2.550e+001	1.246e-002	1.065e-003	2.705e+001	1.322e-002	1.827e-003	24.04	2.115e+000	46.43	4.000e+001	1.954e-002	3.952e-003	6.385e+007
82	5975.0	91.6	110.7	68.7	3.847e+009	7.786e+001	3.12	1.236e-002	7.727e+001	1.293e-002	7.775e+001	1.301e-002	3.136e-003	8.075e+001	1.351e-002	5.435e-003	22.90	5.885e+000	44.43	1.143e+002	1.913e-002	1.099e-002	6.110e+007
83	2721.5	58.9	62.4	55.5	4.479e+009	4.088e+001	2.60	1.240e-002	3.641e+001	1.338e-002	3.740e+001	1.374e-002	1.422e-003	4.020e+001	1.477e-002	2.593e-003	27.84	2.047e+000	54.33	5.475e+001	2.012e-002	6.617e-003	8.001e+007
84	3857.6	73.0	84.3	58.2	3.731e+009	4.849e+001	3.07	1.208e-002	4.824e+001	1.251e-002	4.795e+001	1.243e-002	1.977e-003	5.075e+001	1.316e-002	3.430e-003	23.60	3.794e+000	45.42	7.340e+001	1.903e-002	7.142e-003	6.121e+007
