RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
74	3870.5	72.2	86.8	56.8	3.72E+09	4.86E+01	3.08	1.27E-02	5.33E+01	1.38E-02	5.24E+01	1.35E-02	2.11E-03	5.66E+01	1.46E-02	3.72E-03	28.23	4.11E+00	54.71	9.23E+01	2.38E-02	1.03E-02	8.83E+07
75	1949.4	50.8	59.6	41.7	4.24E+09	2.76E+01	2.42	1.17E-02	2.43E+01	1.25E-02	2.42E+01	1.24E-02	1.02E-03	2.54E+01	1.30E-02	1.75E-03	27.2	1.31E+00	53.16	3.20E+01	1.64E-02	4.25E-03	7.14E+07
76	3903.9	76.1	95.2	52.2	4.07E+09	5.34E+01	2.77	1.19E-02	5.04E+01	1.29E-02	4.86E+01	1.25E-02	2.03E-03	5.13E+01	1.31E-02	3.51E-03	33.27	2.65E+00	65.21	8.37E+01	2.14E-02	1.17E-02	9.86E+07
77	3279.8	67.9	80.7	51.7	4.39E+09	4.87E+01	2.79	1.30E-02	4.85E+01	1.48E-02	4.58E+01	1.40E-02	1.88E-03	4.95E+01	1.51E-02	3.26E-03	34.2	2.88E+00	67.33	8.87E+01	2.70E-02	1.22E-02	1.23E+08
78	3258.7	74.6	93.5	44.4	4.61E+09	5.06E+01	3.01	1.48E-02	5.12E+01	1.57E-02	5.09E+01	1.56E-02	2.07E-03	5.49E+01	1.68E-02	3.64E-03	23.16	3.99E+00	44.56	7.78E+01	2.39E-02	7.44E-03	7.56E+07
79	3996.5	77.4	93.9	54.2	4.05E+09	5.46E+01	2.78	1.20E-02	5.01E+01	1.25E-02	4.94E+01	1.24E-02	2.06E-03	5.07E+01	1.27E-02	3.55E-03	27.03	2.60E+00	52.66	6.93E+01	1.73E-02	8.36E-03	6.92E+07
80	2830.6	64.2	78.6	45.9	4.23E+09	4.04E+01	2.78	1.30E-02	4.06E+01	1.43E-02	4.00E+01	1.41E-02	1.62E-03	4.29E+01	1.51E-02	2.84E-03	28.31	3.08E+00	55.36	6.95E+01	2.45E-02	7.91E-03	9.25E+07
81	2352.8	60	72.3	41.4	4.57E+09	3.58E+01	2.29	1.18E-02	3.15E+01	1.34E-02	3.20E+01	1.36E-02	1.30E-03	3.32E+01	1.41E-02	2.28E-03	24.51	1.84E+00	47.78	4.49E+01	1.91E-02	4.91E-03	6.82E+07
82	2680.1	62.7	76.5	44.6	4.39E+09	3.93E+01	2.65	1.30E-02	3.89E+01	1.45E-02	3.74E+01	1.39E-02	1.55E-03	4.00E+01	1.49E-02	2.70E-03	32.31	2.48E+00	63.07	6.99E+01	2.61E-02	9.10E-03	1.11E+08
83	4097.6	76.5	93	56.1	3.80E+09	5.26E+01	3.39	1.34E-02	5.91E+01	1.44E-02	5.80E+01	1.41E-02	2.32E-03	6.26E+01	1.53E-02	4.10E-03	28.05	4.55E+00	53.98	1.01E+02	2.46E-02	1.11E-02	9.02E+07
84	4291.1	77.8	93	58.7	4.01E+09	5.82E+01	3.05	1.28E-02	6.09E+01	1.42E-02	5.82E+01	1.36E-02	2.37E-03	6.24E+01	1.45E-02	4.14E-03	33.27	3.67E+00	65.24	1.08E+02	2.51E-02	1.45E-02	1.12E+08
85	2948.6	62.4	71.2	52.7	3.98E+09	3.97E+01	2.82	1.21E-02	3.95E+01	1.34E-02	3.83E+01	1.30E-02	1.58E-03	4.06E+01	1.38E-02	2.72E-03	31.77	2.46E+00	62.55	6.80E+01	2.30E-02	8.82E-03	9.92E+07
86	4508.4	82.8	103.5	55.5	3.48E+09	5.31E+01	3.42	1.31E-02	6.39E+01	1.42E-02	6.19E+01	1.37E-02	2.52E-03	6.63E+01	1.47E-02	4.37E-03	30.45	4.49E+00	58.87	1.12E+02	2.48E-02	1.34E-02	9.83E+07
87	3954.3	79	99.2	50.8	4.59E+09	6.17E+01	3.3	1.36E-02	6.00E+01	1.52E-02	6.02E+01	1.52E-02	2.33E-03	6.23E+01	1.58E-02	4.14E-03	25.12	4.55E+00	48.9	9.27E+01	2.34E-02	9.54E-03	8.05E+07
88	4423.6	84.5	106	53.1	4.43E+09	6.63E+01	2.83	1.27E-02	6.23E+01	1.41E-02	6.09E+01	1.38E-02	2.47E-03	6.54E+01	1.48E-02	4.33E-03	28.99	4.65E+00	56.91	1.09E+02	2.46E-02	1.26E-02	9.45E+07
89	2146.7	54.2	64	42.7	3.82E+09	2.77E+01	2.78	1.21E-02	2.90E+01	1.35E-02	2.76E+01	1.28E-02	1.14E-03	2.94E+01	1.37E-02	1.98E-03	34.9	1.60E+00	68.67	5.11E+01	2.38E-02	7.27E-03	1.12E+08
90	2282.9	57.5	69.5	41.9	4.39E+09	3.38E+01	2.88	1.39E-02	3.42E+01	1.50E-02	3.38E+01	1.48E-02	1.38E-03	3.57E+01	1.56E-02	2.41E-03	27.15	2.53E+00	52.98	5.53E+01	2.42E-02	6.17E-03	8.94E+07
91	2691.9	60.6	74	46.4	4.09E+09	3.72E+01	2.89	1.26E-02	3.60E+01	1.34E-02	3.60E+01	1.34E-02	1.46E-03	3.73E+01	1.39E-02	2.55E-03	22.37	1.86E+00	43.68	4.79E+01	1.78E-02	4.84E-03	5.96E+07
92																							
93	2304.7	55.2	61.4	47.8	4.09E+09	3.17E+01	2.77	1.22E-02	2.91E+01	1.26E-02	2.90E+01	1.26E-02	1.21E-03	2.97E+01	1.29E-02	2.08E-03	27.1	1.44E+00	52.67	3.92E+01	1.70E-02	4.89E-03	7.00E+07
94	7386.4	98.6	113.6	82.8	3.91E+09	9.78E+01	2.72	1.10E-02	9.25E+01	1.25E-02	9.78E+01	1.32E-02	3.70E-03	1.04E+02	1.41E-02	6.70E-03	20.52	6.59E+00	40.09	1.36E+02	1.85E-02	1.19E-02	5.37E+07
95	2777.3	60.4	72.9	48.5	4.21E+09	3.87E+01	2.56	1.26E-02	3.94E+01	1.42E-02	3.79E+01	1.37E-02	1.58E-03	4.14E+01	1.49E-02	2.78E-03	32.86	2.24E+00	63.7	6.74E+01	2.43E-02	9.17E-03	1.07E+08
96	3391	70	83.5	51.7	4.55E+09	5.21E+01	2.82	1.31E-02	4.88E+01	1.44E-02	4.82E+01	1.42E-02	1.94E-03	5.17E+01	1.53E-02	3.41E-03	27.96	3.73E+00	54.62	8.39E+01	2.47E-02	9.42E-03	9.20E+07
97	3664.7	75.8	93.6	49.8	4.78E+09	5.90E+01	2.54	1.28E-02	4.94E+01	1.35E-02							3.7	7.68E-01	5.15	5.15E+01	1.40E-02	6.10E-04	5.49E+06
98	3657.1	76.9	97.1	47.9	4.59E+09	5.68E+01	2.72	1.26E-02	4.90E+01	1.34E-02	5.06E+01	1.38E-02	2.02E-03	5.34E+01	1.46E-02	3.54E-03	16.09	8.97E-01	31.18	5.49E+01	1.50E-02	4.53E-03	4.11E+07
99	8058.2	106.9	134.2	76.4	3.28E+09	8.89E+01	3.47	1.28E-02	1.12E+02	1.38E-02	1.10E+02	1.36E-02	4.36E-03	1.17E+02	1.45E-02	7.72E-03	27.94	8.45E+00	53.57	1.87E+02	2.32E-02	2.06E-02	8.46E+07
100	2700.1	62.7	77.5	44.4	4.72E+09	4.31E+01	2.68	1.33E-02	3.99E+01	1.48E-02	3.99E+01	1.48E-02	1.61E-03	4.20E+01	1.55E-02	2.81E-03	26.4	3.06E+00	51.71	6.54E+01	2.42E-02	7.06E-03	8.66E+07
