RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
74	2224.7	3.04E+01	9.41E-03	1.29E+08	0.00E+00	5.29E-03	7.16E+00	1.33E+02	1.61E+01	1.45E+02	8.48E-04	46.813	5.41E-01	2.43E+02
75														
76	3644.2	3.01E+01	6.29E-03	5.20E+07	0.00E+00	8.57E-03	7.00E+00	1.28E+02	1.62E+01	1.33E+02	1.31E-03	48.109	9.01E-01	2.47E+02
77	2790.6	3.03E+01	7.63E-03	8.27E+07	0.00E+00	4.91E-03	7.07E+00	1.30E+02	1.61E+01	1.38E+02	1.02E-03	38.83	6.05E-01	2.17E+02
78	3193.2	3.03E+01	5.17E-03	4.90E+07	0.00E+00	7.75E-03	7.03E+00	1.30E+02	1.60E+01	1.34E+02	1.14E-03	49.141	7.80E-01	2.44E+02
79	5508.1	3.01E+01	7.82E-03	4.26E+07	0.00E+00	1.27E-02	7.12E+00	1.24E+02	1.61E+01	1.28E+02	1.86E-03	49.118	1.30E+00	2.37E+02
80	2741	3.01E+01	5.75E-03	6.31E+07	0.00E+00	6.03E-03	7.02E+00	1.25E+02	1.62E+01	1.32E+02	9.64E-04	46.609	6.51E-01	2.38E+02
81	2404	3.02E+01	4.73E-03	5.93E+07	0.00E+00	4.59E-03	7.03E+00	1.34E+02	1.60E+01	1.39E+02	8.84E-04	40.57	5.54E-01	2.31E+02
82	4183.6	3.03E+01	9.06E-03	6.55E+07	0.00E+00	8.80E-03	7.07E+00	1.25E+02	1.61E+01	1.31E+02	1.46E-03	45.373	9.49E-01	2.27E+02
83	5078.4	3.03E+01	1.13E-02	6.76E+07	0.00E+00	1.20E-02	7.07E+00	1.28E+02	1.61E+01	1.34E+02	1.81E-03	48.645	1.21E+00	2.39E+02
84	3867.3	3.01E+01	9.64E-03	7.50E+07	0.00E+00	9.32E-03	7.02E+00	1.26E+02	1.62E+01	1.33E+02	1.37E-03	49.535	9.37E-01	2.42E+02
85														
86	3995.1	3.03E+01	7.84E-03	5.95E+07	0.00E+00	8.58E-03	7.19E+00	1.23E+02	1.62E+01	1.29E+02	1.37E-03	47.346	8.74E-01	2.19E+02
87	4917.8	3.03E+01	1.90E-02	1.17E+08	0.00E+00	1.22E-02	7.19E+00	1.26E+02	1.62E+01	1.38E+02	1.76E-03	49.258	1.23E+00	2.50E+02
88	1926.2	3.00E+01	5.84E-03	9.10E+07	0.00E+00	3.39E-03	7.03E+00	1.34E+02	1.62E+01	1.43E+02	7.40E-04	37.929	4.27E-01	2.22E+02
89														
