RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
65	4479.4	3.01E+01	2.61E-03	1.75E+07	0.00E+00	5.22E-03	7.13E+00	6.69E+01	1.61E+01	6.87E+01	8.18E-04	48.275	5.06E-01	1.13E+02
66	4525.7	3.05E+01	4.47E-03	3.01E+07	0.00E+00	9.88E-03	7.18E+00	1.20E+02	1.62E+01	1.23E+02	1.49E-03	49.459	9.38E-01	2.07E+02
67														
68														
69														
70	5828.6	3.00E+01	9.83E-03	5.06E+07	0.00E+00	8.37E-03	7.06E+00	7.68E+01	1.60E+01	8.14E+01	1.25E-03	49.833	8.11E-01	1.39E+02
71	2938.7	3.04E+01	1.32E-02	1.36E+08	0.00E+00	9.29E-03	7.05E+00	1.52E+02	1.60E+01	1.64E+02	1.26E-03	52.914	8.37E-01	2.85E+02
72	3323.8	3.04E+01	1.31E-02	1.20E+08	0.00E+00	1.09E-02	7.13E+00	1.78E+02	1.61E+01	1.91E+02	1.68E-03	48.127	1.02E+00	3.06E+02
73	3361.1	3.07E+01	4.81E-03	4.40E+07	0.00E+00	6.62E-03	7.13E+00	1.04E+02	1.61E+01	1.08E+02	9.77E-04	50.244	6.21E-01	1.85E+02
74	4838.1	3.04E+01	7.64E-03	4.81E+07	0.00E+00	9.96E-03	7.04E+00	1.29E+02	1.60E+01	1.34E+02	1.73E-03	44.97	1.02E+00	2.12E+02
75	2466.8	3.04E+01	5.79E-03	7.13E+07	0.00E+00	4.91E-03	7.05E+00	2.44E+02	1.60E+01	2.51E+02	1.65E-03	27.165	6.73E-01	2.73E+02
76														
77														
78	3958.4	3.02E+01	5.19E-03	3.96E+07	0.00E+00	1.19E-02	7.16E+00	1.46E+02	1.62E+01	1.50E+02	1.58E-03	54.639	1.06E+00	2.68E+02
