RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
49	4633.5	3.07E+01	5.66E-03	3.75E+07	0.00E+00	1.03E-02	7.04E+00	1.35E+02	1.60E+01	1.39E+02	1.74E-03	45.665	1.06E+00	2.28E+02
50	6256.5	3.01E+01	1.43E-02	6.89E+07	0.00E+00	1.60E-02	7.02E+00	1.25E+02	1.62E+01	1.31E+02	2.20E-03	53.59	1.44E+00	2.31E+02
51														
52	2290.6	3.01E+01	5.56E-03	7.31E+07	0.00E+00	3.02E-03	7.11E+00	1.27E+02	1.61E+01	1.34E+02	8.06E-04	32.558	4.16E-01	1.81E+02
53														
54														
55														
56														
57														
58	4016.9	3.01E+01	3.16E-03	2.37E+07	0.00E+00	1.07E-02	7.11E+00	1.37E+02	1.61E+01	1.40E+02	1.50E-03	53.09	9.15E-01	2.28E+02
59	2314.3	3.04E+01	1.01E-02	1.32E+08	0.00E+00	3.69E-03	7.05E+00	1.36E+02	1.60E+01	1.47E+02	8.84E-04	34.837	4.79E-01	2.07E+02
60	3331.2	3.01E+01	7.17E-03	6.48E+07	0.00E+00	6.37E-03	7.02E+00	1.36E+02	1.62E+01	1.43E+02	1.27E-03	40.226	7.41E-01	2.22E+02
61	3669.9	3.01E+01	6.02E-03	4.93E+07	0.00E+00	8.90E-03	7.02E+00	1.33E+02	1.62E+01	1.37E+02	1.36E-03	49.136	8.63E-01	2.35E+02
62	3539.1	3.03E+01	1.07E-02	9.12E+07	0.00E+00	6.39E-03	7.07E+00	1.16E+02	1.61E+01	1.24E+02	1.17E-03	43.82	6.71E-01	1.90E+02
63	6019	3.06E+01	9.94E-03	5.06E+07	0.00E+00	1.56E-02	7.09E+00	1.25E+02	1.60E+01	1.29E+02	2.10E-03	53.364	1.38E+00	2.29E+02
64	3784.7	3.00E+01	4.12E-03	3.26E+07	0.00E+00	7.85E-03	7.07E+00	1.45E+02	1.60E+01	1.49E+02	1.49E-03	43.076	8.65E-01	2.29E+02
65	4449.7	3.02E+01	2.33E-03	1.58E+07	0.00E+00	1.21E-02	7.12E+00	1.35E+02	1.61E+01	1.36E+02	1.62E-03	54.338	9.36E-01	2.10E+02
66	2054.9	3.00E+01	2.91E-05	4.24E+05	0.00E+00	5.12E-03	7.07E+00	1.41E+02	1.60E+01	1.40E+02	7.70E-04	51.818	4.78E-01	2.33E+02
67	4014.3	3.02E+01	6.76E-03	5.08E+07	0.00E+00	6.98E-03	7.03E+00	1.33E+02	1.60E+01	1.37E+02	1.46E-03	38.648	8.42E-01	2.10E+02
68														
69														
70	3794	3.05E+01	6.88E-03	5.53E+07	0.00E+00	7.38E-03	7.11E+00	1.33E+02	1.61E+01	1.38E+02	1.40E-03	41.481	8.28E-01	2.18E+02
71														
72	4070.2	3.01E+01	5.32E-03	3.93E+07	0.00E+00	1.06E-02	7.11E+00	1.36E+02	1.61E+01	1.40E+02	1.51E-03	51.728	9.48E-01	2.33E+02
73														
74														
75														
76														
77	5757.2	3.02E+01	2.05E-02	1.08E+08	0.00E+00	9.81E-03	7.02E+00	1.27E+02	1.60E+01	1.37E+02	2.11E-03	39.576	1.10E+00	1.91E+02
78	2798	3.02E+01	5.77E-03	6.24E+07	0.00E+00	5.53E-03	7.02E+00	1.38E+02	1.60E+01	1.45E+02	1.08E-03	40.139	6.72E-01	2.40E+02
79	2777.1	3.01E+01	7.43E-03	8.05E+07	0.00E+00	6.15E-03	7.07E+00	1.38E+02	1.60E+01	1.45E+02	1.06E-03	44.138	6.72E-01	2.42E+02
80														
81	4109	3.01E+01	1.14E-02	8.32E+07	0.00E+00	1.08E-02	7.11E+00	1.32E+02	1.61E+01	1.40E+02	1.51E-03	50.797	1.06E+00	2.57E+02
82	5479.8	3.01E+01	9.22E-03	5.06E+07	0.00E+00	1.53E-02	7.09E+00	1.35E+02	1.61E+01	1.39E+02	2.03E-03	53.892	1.35E+00	2.47E+02
83	3795.9	3.02E+01	6.45E-03	5.13E+07	0.00E+00	9.94E-03	7.16E+00	1.46E+02	1.61E+01	1.51E+02	1.51E-03	48.592	9.88E-01	2.60E+02
84														
85	4238.2	3.01E+01	8.15E-03	5.79E+07	0.00E+00	7.50E-03	7.15E+00	1.30E+02	1.61E+01	1.36E+02	1.52E-03	40.179	8.56E-01	2.02E+02
86	4126.3	3.03E+01	6.01E-03	4.42E+07	0.00E+00	1.43E-02	7.13E+00	1.41E+02	1.61E+01	1.45E+02	1.60E-03	60.812	1.08E+00	2.61E+02
87	3293.3	3.01E+01	1.36E-02	1.24E+08	0.00E+00	4.68E-03	7.13E+00	1.29E+02	1.62E+01	1.41E+02	1.22E-03	33.179	6.28E-01	1.91E+02
88	4415.3	3.01E+01	8.75E-03	5.97E+07	0.00E+00	9.36E-03	7.00E+00	1.34E+02	1.62E+01	1.41E+02	1.68E-03	44.441	9.99E-01	2.26E+02
89	5359.6	3.05E+01	9.73E-03	5.53E+07	0.00E+00	1.10E-02	7.18E+00	1.30E+02	1.62E+01	1.35E+02	1.93E-03	44.277	1.18E+00	2.20E+02
90	6541	3.01E+01	1.17E-02	5.38E+07	0.00E+00	2.06E-02	7.15E+00	1.22E+02	1.61E+01	1.27E+02	2.20E-03	64.972	1.41E+00	2.15E+02
91	4598.6	3.03E+01	8.32E-03	5.49E+07	0.00E+00	8.15E-03	7.02E+00	1.18E+02	1.62E+01	1.23E+02	1.54E-03	42.73	8.87E-01	1.93E+02
92	3495	3.01E+01	7.53E-03	6.48E+07	0.00E+00	9.41E-03	7.15E+00	1.29E+02	1.62E+01	1.36E+02	1.26E-03	52.409	8.87E-01	2.54E+02
93														
94	4028.7	3.01E+01	9.33E-03	6.97E+07	0.00E+00	8.15E-03	7.15E+00	1.31E+02	1.62E+01	1.38E+02	1.47E-03	43.27	9.00E-01	2.23E+02
95	5036.5	3.01E+01	7.94E-03	4.75E+07	0.00E+00	1.14E-02	7.00E+00	1.36E+02	1.62E+01	1.40E+02	1.91E-03	45.802	1.22E+00	2.42E+02
96	3712.2	3.02E+01	7.35E-03	5.98E+07	0.00E+00	7.05E-03	7.08E+00	1.31E+02	1.61E+01	1.37E+02	1.34E-03	41.576	8.02E-01	2.16E+02
97	3258.7	3.03E+01	7.37E-03	6.85E+07	0.00E+00	6.88E-03	7.00E+00	1.30E+02	1.62E+01	1.38E+02	1.22E-03	45.079	7.15E-01	2.20E+02
98														
99														
100	3323.7	3.01E+01	8.20E-03	7.41E+07	0.00E+00	5.63E-03	7.12E+00	1.46E+02	1.61E+01	1.53E+02	1.33E-03	35.341	7.29E-01	2.19E+02
