RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
37	3152.7	3.02E+01	6.23E-03	5.97E+07	0.00E+00	6.83E-03	7.14E+00	1.34E+02	1.61E+01	1.40E+02	1.17E-03	44.312	7.66E-01	2.43E+02
38	4470.3	3.02E+01	1.03E-02	6.93E+07	0.00E+00	9.20E-03	7.14E+00	1.28E+02	1.61E+01	1.34E+02	1.59E-03	44.478	9.80E-01	2.19E+02
39	2618.7	3.00E+01	3.43E-03	3.93E+07	0.00E+00	6.91E-03	7.00E+00	1.51E+02	1.61E+01	1.54E+02	1.09E-03	48.249	7.00E-01	2.67E+02
40	4132.6	3.02E+01	9.77E-03	7.14E+07	0.00E+00	9.48E-03	7.16E+00	1.32E+02	1.62E+01	1.39E+02	1.52E-03	46.903	9.94E-01	2.41E+02
41	4123.3	3.00E+01	6.56E-03	4.77E+07	0.00E+00	8.27E-03	7.04E+00	1.49E+02	1.61E+01	1.53E+02	1.69E-03	40.247	9.80E-01	2.38E+02
42	3970.4	3.00E+01	3.80E-03	2.87E+07	0.00E+00	9.82E-03	7.00E+00	1.48E+02	1.61E+01	1.50E+02	1.62E-03	47.082	1.04E+00	2.63E+02
43	3576.4	3.00E+01	5.59E-03	4.68E+07	0.00E+00	7.97E-03	7.00E+00	1.47E+02	1.61E+01	1.52E+02	1.46E-03	44.148	8.49E-01	2.37E+02
44	3971.5	3.00E+01	1.04E-02	7.88E+07	0.00E+00	9.88E-03	7.00E+00	1.45E+02	1.61E+01	1.52E+02	1.62E-03	47.249	1.05E+00	2.64E+02
45	3617.1	3.00E+01	1.20E-03	9.97E+06	0.00E+00	6.27E-03	7.00E+00	1.24E+02	1.61E+01	1.27E+02	1.25E-03	41.447	7.22E-01	2.00E+02
46	4506.5	3.00E+01	4.48E-03	2.98E+07	0.00E+00	1.18E-02	7.00E+00	1.55E+02	1.61E+01	1.57E+02	1.92E-03	48.816	1.15E+00	2.55E+02
47	3453.1	3.00E+01	6.13E-03	5.32E+07	0.00E+00	1.14E-02	7.17E+00	1.73E+02	1.61E+01	1.77E+02	1.62E-03	52.467	1.03E+00	2.99E+02
48	3154.3	3.00E+01	4.83E-03	4.59E+07	0.00E+00	6.30E-03	7.00E+00	1.46E+02	1.61E+01	1.51E+02	1.28E-03	41	7.34E-01	2.33E+02
49	2598	3.04E+01	6.06E-03	7.10E+07	0.00E+00	5.99E-03	7.04E+00	1.34E+02	1.60E+01	1.40E+02	9.73E-04	46.318	6.38E-01	2.46E+02
50	3655.4	3.00E+01	6.92E-03	5.68E+07	0.00E+00	1.09E-02	7.00E+00	1.58E+02	1.61E+01	1.63E+02	1.60E-03	51.751	1.00E+00	2.74E+02
51	5036.7	3.00E+01	1.20E-02	7.17E+07	0.00E+00	1.51E-02	7.00E+00	1.45E+02	1.61E+01	1.52E+02	2.05E-03	55.052	1.33E+00	2.65E+02
52	4729.2	3.00E+01	1.30E-02	8.25E+07	0.00E+00	1.21E-02	7.00E+00	1.37E+02	1.61E+01	1.45E+02	1.85E-03	49.783	1.22E+00	2.57E+02
53	5559.2	3.02E+01	7.92E-03	4.31E+07	0.00E+00	1.05E-02	7.14E+00	1.22E+02	1.61E+01	1.27E+02	1.88E-03	43.353	1.19E+00	2.14E+02
