RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
38	7778.3	3.01E+01	1.37E-02	5.29E+07	0.00E+00	1.56E-02	7.00E+00	1.21E+02	1.62E+01	1.26E+02	2.64E-03			
39														
40														
41														
42														
43	3436	3.02E+01	7.81E-03	6.85E+07	0.00E+00	6.52E-03	7.10E+00	1.23E+02	1.61E+01	1.29E+02	1.17E-03	42.971	7.32E-01	2.13E+02
44	3770.3	3.05E+01	1.53E-02	1.24E+08	0.00E+00	7.08E-03	7.06E+00	1.26E+02	1.61E+01	1.38E+02	1.37E-03	41.319	7.78E-01	2.06E+02
45	3685.9	3.01E+01	6.90E-03	5.63E+07	0.00E+00	7.33E-03	7.05E+00	1.28E+02	1.60E+01	1.33E+02	1.29E-03	43.365	8.09E-01	2.20E+02
46	1614	3.06E+01	8.21E-03	1.56E+08	0.00E+00	3.19E-03	7.16E+00	1.26E+02	1.62E+01	1.41E+02	5.91E-04	40.896	3.78E-01	2.34E+02
47														
48														
49	2825.9	3.03E+01	9.98E-03	1.07E+08	0.00E+00	6.75E-03	7.03E+00	1.15E+02	1.60E+01	1.25E+02	9.18E-04	53.005	5.82E-01	2.06E+02
50	2919.6	3.03E+01	4.36E-03	4.52E+07	0.00E+00	6.38E-03	7.04E+00	1.31E+02	1.60E+01	1.34E+02	1.05E-03	46.449	6.57E-01	2.25E+02
51	2192	3.06E+01	5.09E-03	7.09E+07	0.00E+00	5.92E-03	7.07E+00	1.41E+02	1.60E+01	1.47E+02	8.65E-04	50.229	5.41E-01	2.47E+02
52	4366.7	3.03E+01	7.80E-03	5.41E+07	0.00E+00	9.90E-03	7.13E+00	1.38E+02	1.61E+01	1.43E+02	1.66E-03	45.791	1.03E+00	2.35E+02
53														
54														
55														
56														
57														
58	2790	3.03E+01	1.47E-02	1.59E+08	0.00E+00	5.96E-03	7.00E+00	1.47E+02	1.62E+01	1.62E+02	1.21E-03	40.667	6.84E-01	2.45E+02
59	4778.8	3.02E+01	1.42E-02	8.93E+07	0.00E+00	1.01E-02	7.07E+00	1.33E+02	1.61E+01	1.42E+02	1.79E-03			
60	3854.4	3.01E+01	2.38E-02	1.86E+08	0.00E+00	8.58E-03	7.11E+00	1.23E+02	1.61E+01	1.41E+02	1.40E-03	48.439	8.13E-01	2.11E+02
61	2883.8	3.01E+01	5.36E-03	5.60E+07	0.00E+00	6.74E-03	7.00E+00	1.41E+02	1.62E+01	1.46E+02	1.14E-03	46.167	6.89E-01	2.39E+02
62	4987.4	3.02E+01	9.08E-03	5.49E+07	0.00E+00	4.35E-03	7.06E+00	1.32E+02	1.60E+01	1.38E+02	1.82E-03	22.804	7.32E-01	1.47E+02
63	4200.9	3.00E+01	3.79E-03	2.71E+07	0.00E+00	9.88E-03	7.07E+00	1.51E+02	1.62E+01	1.54E+02	1.74E-03	45.979	1.03E+00	2.45E+02
64	3251.3	3.00E+01	8.52E-03	7.87E+07	0.00E+00	7.09E-03	7.16E+00	1.38E+02	1.61E+01	1.45E+02	1.24E-03	44.874	7.10E-01	2.18E+02
65	2515.8	3.04E+01	6.69E-03	8.07E+07	0.00E+00	6.61E-03	7.08E+00	1.37E+02	1.61E+01	1.46E+02	9.74E-04	50.313	6.11E-01	2.43E+02
66	4092.9	3.02E+01	8.89E-03	6.56E+07	0.00E+00	9.42E-03	7.16E+00	1.36E+02	1.62E+01	1.42E+02	1.54E-03	47.069	9.41E-01	2.30E+02
67														
68														
69														
70														
71														
72	3162.4	3.04E+01	6.31E-03	6.06E+07	0.00E+00	7.16E-03	7.01E+00	1.34E+02	1.60E+01	1.39E+02	1.17E-03	46.724	7.09E-01	2.24E+02
73														
74														
75														
76														
77	2968.2	3.02E+01	4.19E-03	4.26E+07	0.00E+00	7.27E-03	7.16E+00	1.47E+02	1.62E+01	1.51E+02	1.20E-03	47.084	7.15E-01	2.41E+02
78	5602	3.01E+01	1.95E-02	1.05E+08	0.00E+00	1.86E-02	7.05E+00	1.40E+02	1.60E+01	1.50E+02	2.20E-03	59.661	1.45E+00	2.59E+02
79														
80	2857.1	3.02E+01	5.74E-03	6.06E+07	0.00E+00	6.56E-03	7.03E+00	1.41E+02	1.60E+01	1.47E+02	1.11E-03	45.409	6.83E-01	2.39E+02
81														
82														
83	4467.2	3.01E+01	1.76E-02	1.19E+08	0.00E+00	7.70E-03	7.00E+00	1.31E+02	1.62E+01	1.42E+02	1.67E-03	38.633	9.09E-01	2.04E+02
