Three Phase Analysis Version 6.0																								
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_PYS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
26	3339.7	65.2	69.6	61.1	3669000000	41.19	3.17	0.01198	39.67	0.01188	38.7	0.01159	0.00161	39.35	0.01178	0.002772	34.45	1.871	66.96	62.35	0.01867	183.0901555	0.009112	89960000
27	2814.2	61.8	73.9	48.5	3762000000	35.83	2.79	0.01142	33.69	0.01197	33.55	0.01192	0.001351	35.95	0.01277	0.002385	25.53	2.133	49.93	50.4	0.01791	175.6371015	0.005489	64760000
28	3102.4	66.1	79	50	4338000000	45.52	2.85	0.01288	39.65	0.01278	39.05	0.01259	0.00165	40.65	0.0131	0.002808	23.89	2.666	46.52	56.95	0.01836	180.050094	0.005895	63040000
29	3325.1	65.5	72.9	58.1	3348000000	37.58	3.11	0.0108	37.72	0.01134	37.55	0.01129	0.001517	38.8	0.01167	0.002632	27.52	2.212	53.18	54.8	0.01648	161.613592	0.006463	64360000
30	3363.2	68.1	78.8	54.3	4399000000	50.02	2.69	0.01232	43.8	0.01302	43.15	0.01283	0.001785	46.4	0.0138	0.003089	25.77	3.33	50.75	70.3	0.0209	204.958985	0.007529	74250000
31	4210.6	77.4	91.7	58.5	4151000000	59.15	2.92	0.01261	53.47	0.0127	52.5	0.01247	0.002187	55.65	0.01322	0.003787	23.37	3.708	45.65	77.7	0.01845	180.9326925	0.007792	61440000
32	3519.7	69.2	80.4	55.7	3533000000	41.94	3.18	0.01188	41.65	0.01183	41.1	0.01168	0.001711	42.15	0.01198	0.002949	21.64	2.295	41.33	53.9	0.01531	150.1398115	0.005227	49150000
33	3514	69.5	77.8	57.5	4427000000	52.41	2.68	0.01293	47.36	0.01348	47.65	0.01356	0.001969	50.65	0.01441	0.003415	18.18	2.083	35.33	59.55	0.01695	166.2227175	0.005038	47380000
34	3484.5	66.7	72.4	61.2	3778000000	44.4	2.91	0.01215	44.66	0.01282	44.85	0.01287	0.001814	47.2	0.01355	0.003175	23.56	3.438	45.57	67.8	0.01946	190.837409	0.006633	62990000
35	3273.5	65.1	73.3	56.9	3882000000	42.86	2.81	0.0121	42.52	0.01299	42.3	0.01292	0.001724	44.3	0.01353	0.003007	26.44	3.281	51.75	69.6	0.02126	208.489379	0.00754	76220000
36	3916	75.9	91.3	54.5	4547000000	60.01	2.51	0.01189	48.69	0.01243	49.1	0.01254	0.002022	51.3	0.0131	0.003494	20.21	1.406	39.48	59.4	0.01517	148.7668805	0.005837	49290000
37	3197.2	64.9	74.4	54.7	4086000000	44	3.04	0.01281	41.4	0.01295	40.8	0.01276	0.001702	42.55	0.01331	0.002934	26.67	2.916	51.72	60	0.01877	184.0708205	0.007174	74150000
38	3242.1	65.3	72.9	56.6	4124000000	44.98	3.04	0.013	41.99	0.01295	41	0.01265	0.001742	42.75	0.01319	0.00298	15.51	0.7974	29.41	44.65	0.01377	135.0375705	0.003531	35940000
39	3620.9	69.5	81.9	56.4	4266000000	52.07	2.65	0.01239	47.38	0.01309	47.75	0.01319	0.001965	49.8	0.01375	0.003396	19.61	2.227	38.13	61.35	0.01694	166.124651	0.0055	50230000
40	2601.1	59.1	67.5	49.1	4073000000	35.89	2.76	0.01215	32.44	0.01247	31.55	0.01213	0.001328	33.3	0.0128	0.002263	30.48	1.987	59.95	53.1	0.02041	200.1537265	0.006736	86060000
41	3655	68.9	76.1	61.1	4126000000	50.66	2.9	0.01248	44.64	0.01221	43.6	0.01193	0.001872	45	0.01231	0.003167	28.08	2.639	54.61	66.35	0.01815	177.9906975	0.008061	72690000
42	5014.8	82.6	99.3	64.3	4044000000	68.88	3.03	0.01251	63.97	0.01276	62.6	0.01248	0.002589	65.6	0.01308	0.004491	27.52	4.458	53.95	102.2	0.02038	199.859527	0.01164	77320000
43	2852.3	60.1	64.4	56.4	4065000000	39.12	2.75	0.01234	35.3	0.01238	34.55	0.01211	0.001466	36.35	0.01274	0.002517	26.15	2.145	51.08	51.2	0.01795	176.0293675	0.005844	67820000
44	4038.4	71.6	76.3	67.4	4247000000	58.12	2.73	0.01165	51.02	0.01263	51.8	0.01283	0.002073	53.35	0.01321	0.003627	22.77	3.751	44.88	74.95	0.01856	182.011424	0.007349	60500000
45	3380.9	66.8	75.6	56.9	3746000000	42.81	2.92	0.01222	41.5	0.01227	40.95	0.01211	0.0017	43.55	0.01288	0.002949	23.61	2.376	46.05	57.85	0.01711	167.7917815	0.006034	59170000
46	4352.9	77	91.5	60.6	4104000000	60.03	2.9	0.01244	54.34	0.01248	53.15	0.01221	0.002213	56.2	0.01291	0.003832	27.93	3.727	54.27	87.05	0.02	196.133	0.01007	76270000
47	4317.2	77.7	92.4	59.5	3863000000	56.11	3.27	0.01293	54.8	0.01269	53.9	0.01248	0.002253	55.5	0.01286	0.003885	26.3	3.214	50.56	76.95	0.01782	174.754503	0.008805	67310000
48	3087.9	63.3	71.3	55.2	4480000000	47.05	3.44	0.01383	43.9	0.01422	43.4	0.01405	0.001706	45.8	0.01483	0.003026	25.16	2.776	48.55	63.35	0.02052	201.232458	0.006725	72660000
49	2129.5	52	55.4	49	4028000000	28.82	2.77	0.01205	26.69	0.01253	27.1	0.01273	0.001109	28.35	0.01331	0.001923	19.41	1.415	37.48	35.45	0.01665	163.2807225	0.003076	47610000
50																								
																								
Min:	2129.5	52	55.4	43.7	3298000000	28.82	1.96	0.009549	26.69	0.01133	27.1	0.01129	0.001109	28.35	0.01154	0.001923	11.69	0.6324	21.17	35.45	0.01216	119.248864	0.003076	22720000
Max:	7310.4	97.9	120.7	83	4547000000	90	4.04	0.01413	84.81	0.01464	85.3	0.01475	0.003406	90.35	0.01556	0.006009	34.45	5.494	66.96	118.8	0.02315	227.0239475	0.01358	89960000
Median:	3942.8	72.7	0	60.2	3956000000	53.11	2.92	0.01227	49.46	0.01253	49.6	0.01244	0.002024	53.05	0.01304	0.003528	25.65	3.146	49.85	70.4	0.0185	181.423025	0.007754	67120000
Mean:	4087.9	73.9	85.5	60.2	3967000000	54.31	2.96	0.01227	51.46	0.01262	51.15	0.01253	0.002094	53.31	0.01315	0.003623	24.81	3.105	48.13	74.86	0.01835	179.9520275	0.008055	65330000
Std. Dev.:	1031.2	9.9	14.1	7.4	276200000	12.63	0.27	0.0006932	12.9	0.0006557	12.77	0.0006702	0.0005142	13.14	0.0007608	0.0008831	3.98	1.126	7.86	20.23	0.002069	20.28995885	0.002535	12980000
% Premature Failure:	0																							
