Three Phase Analysis Version 6.0																								
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_WAX7_phos_0.01_0.02_0.04.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
26	5014.1	87.8	109.6	58.3	3872000000	65.48	3.31	0.01302	67.57	0.01348	66.1	0.01318	0.002703	70.3	0.01402	0.004725	27.99	4.171	53.87	104.1	0.02076	203.586054	0.01216	80240000
27	3526	68.1	77	58.3	4366000000	51.88	2.74	0.01263	45.27	0.01284	44.5	0.01262	0.001887	46.7	0.01324	0.00321	25.4	3.311	49.74	70.25	0.01992	195.348468	0.007534	70650000
28	4137.6	73.4	79.3	66.4	4097000000	56.61	2.92	0.01275	53.78	0.013	53.7	0.01298	0.002166	55.1	0.01332	0.003775	30.37	2.7	58.65	77.75	0.01879	184.2669535	0.01026	81260000
29	4903.1	80.3	87.3	71.5	3446000000	57.29	3.23	0.01236	63.44	0.01294	61.75	0.01259	0.002514	65.15	0.01329	0.004384	30.04	4.33	58.35	108.4	0.02211	216.8250315	0.01302	88350000
30	3715.4	70.2	76.4	61.9	4357000000	54.47	2.81	0.01265	47.93	0.0129	47.45	0.01277	0.001982	49.3	0.01327	0.00339	27.14	3.209	52.72	73.5	0.01978	193.975537	0.008425	74860000
31	4245.7	74.8	84.4	64.2	4029000000	57.23	2.69	0.01146	50.4	0.01187	49.5	0.01166	0.002055	54.05	0.01273	0.003585	26.75	2.376	51.82	71.8	0.01691	165.8304515	0.008518	65840000
32	3254.2	68.2	82.1	50.5	4107000000	45.33	2.9	0.01248	41.45	0.01274	41.3	0.01269	0.001692	43	0.01321	0.002921	23.66	2.662	46.39	59.3	0.01822	178.677163	0.006099	62370000
33	6072.9	88.8	99.5	77.7	3503000000	71.22	3.28	0.01149	73.35	0.01208	73.4	0.01209	0.002953	75.95	0.01251	0.005158	26.83	5.211	51.36	114.2	0.0188	184.36502	0.01259	68060000
34	3258.3	65.6	76.2	54.4	3929000000	43.45	2.9	0.01263	41.3	0.01268	40.3	0.01237	0.001685	42	0.01289	0.002903	28.27	2.519	55.44	62.8	0.01927	188.9741455	0.007563	77300000
35	6199.4	89.7	98.6	80	3206000000	66.31	2.98	0.01076	73.19	0.01181	72.7	0.01173	0.002973	75.3	0.01215	0.005155	29.66	4.524	57.18	117.6	0.01896	185.934084	0.01445	76320000
36	4464.7	77.7	91.1	62.5	3618000000	54.94	4.3	0.01261	59.77	0.01339	59.3	0.01328	0.002158	61.9	0.01386	0.003933	30.06	4.039	56.92	96.3	0.02157	211.5294405	0.01134	84740000
37	5025.5	81.4	95.4	67.1	3940000000	66.74	2.78	0.01129	57.52	0.01145	63.75	0.01269	0.00241				11.54	0.7821	21.99	63.4	0.01262	123.759923	0.003719	24470000
38	4137.6	73.9	82.1	64.2	3533000000	49.6	3.2	0.0127	55.06	0.01331	54.45	0.01316	0.002232	57.05	0.01379	0.003845	25.27	4.26	49.13	86.05	0.0208	203.97832	0.008914	71720000
39	3864.9	71.1	80.4	61.2	4007000000	51.67	2.95	0.01264	48.98	0.01267	48.5	0.01255	0.002057	50.65	0.01311	0.003521	22.98	3.48	43.99	70.25	0.01818	178.284897	0.006942	58790000
40	5706.8	88	106.3	68.3	3667000000	70.47	3.24	0.01241	70.37	0.01233	70.45	0.01235	0.002825	76.95	0.01348	0.005004	21.41	2.481	40.7	91	0.01595	156.4160675	0.008762	50720000
41	1561.3	45	51.7	38.5	4389000000	22.59	2.55	0.01294	20.84	0.01335	20.6	0.01319	0.0008833	21.45	0.01374	0.001514	27.91	1.415	53.95	34.05	0.02181	213.8830365	0.003982	82480000
42	3479.5	67.7	76.8	57.6	4254000000	49.09	2.73	0.01279	43.47	0.01249	42.7	0.01227	0.001835	44.35	0.01275	0.003148	26.58	2.646	51.27	63.55	0.01826	179.069429	0.007376	68960000
43	6241.8	94	115	69.1	3747000000	78.1	3.18	0.01218	76.06	0.01219	75.15	0.01204	0.003108	77.1	0.01235	0.00538	26.93	4.524	51.57	109.8	0.01759	172.4989735	0.01274	66900000
44	5956.2	91.5	109.4	69.3	3897000000	78.71	2.99	0.01268	75.95	0.01275	74.7	0.01254	0.003115	77.8	0.01306	0.005367	23.82	5.122	46.34	109.3	0.01834	179.853961	0.01117	62410000
45	3727.9	71.8	86.2	55.1	4151000000	51.8	2.89	0.01292	49.22	0.0132	48.9	0.01312	0.002031	50.75	0.01361	0.003506	27.03	3.372	52.12	76.1	0.02041	200.1537265	0.008633	76050000
46	3281.8	66.8	78.2	53.3	4179000000	46.13	2.51	0.01118	37.91	0.01155	38.05	0.01159	0.001558	42.8	0.01304	0.002746	22.6	1.03	44.37	49.5	0.01508	147.884282	0.00536	53880000
47	3552.1	72.1	88.8	50.9	4016000000	47.39	2.93	0.01292	45.59	0.01283	45.15	0.01271	0.0019	46.8	0.01318	0.003287	26.27	2.851	50.39	67.15	0.0189	185.345685	0.007605	69790000
48	3267.2	66.6	79.3	52.4	4102000000	44.91	2.99	0.01281	42.62	0.01304	41.85	0.01281	0.001754	44.15	0.01351	0.00303	25.61	3.17	49.21	66.15	0.02025	198.5846625	0.007018	70610000
49	3330.2	67.5	79.7	53.3	4241000000	46.95	2.74	0.01251	42.05	0.01263	41.45	0.01245	0.001769	43.05	0.01293	0.00302	27.89	2.739	53.95	65.9	0.01979	194.0736035	0.007778	76180000
50	3365.9	66	71.4	60	4000000000	44.78	3.03	0.01288	42.24	0.01255	41.2	0.01224	0.001755	43.75	0.013	0.003011	28.48	2.151	54.55	60.3	0.01791	175.6371015	0.007548	73160000
																								
Min:	1561.3	45	51.7	38.5	0	20.03	2.46	0	20.84	0	20.55	0	0.0008767	21.45	0	0.001506	11.54	0.09857	21.99	34.05	0		0.003368	24470000
Max:	6688.1	98	116.5	80.2	4890000000	88.8	4.3	0.01521	83.01	0.01539	83.3	0.01509	0.003392	91.2	0.01574	0.006027	34.01	6.132	66.89	132.8	0.0249	244.185585	0.01593	1.#IOe+000
Median:	3896.1	72.9	83.5	59.7	3959000000	51.8	2.91	0.01244	50.29	0.01268	0	0.01257	0.002056	51.7	0.01318	0.003548	26.41	3.17	51.46	73.1	0.01939	190.1509435	0.008311	71520000
Mean:	4061.3	73.4	84.7	60	3920000000	53.14	2.95	0.01228	51.29	0.01263	50.85	0.01252	0.002092	53.21	0.01313	0.003625	25.83	3.27	50.02	76.99	0.01898	186.130217	0.008479	1.#IOe+000
Std. Dev.:	1184.3	11.3	14.6	9	492800000	14.2	0.24	0.001396	14.64	0.001411	14.58	0.001397	0.000585	15.42	0.001493	0.001034	3.57	1.175	7.08	23.17	0.002745	26.91925425	0.002866	-1.#IOe+000
% Premature Failure:	0																					0		
