Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ control_locx positive 5_LocxEF positive 1_LOcxEF negative 2.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
54	54	Slot 54 : MTT Extension Method, Cycle: 1	52.81	2.228	68.45	3.941	2834.54	56.53	52.60	
55	55	Slot 55 : MTT Extension Method, Cycle: 1	45.66	1.055	79.46	3.166	2849.92	47.39	57.75	
56	56	Slot 56 : MTT Extension Method, Cycle: 1	51.82	0.126	85.06	1.223	3461.72	53.88	74.90	
57	57	Slot 57 : MTT Extension Method, Cycle: 1	53.46	0.355	93.04	3.465	3906.16	47.36	80.15	
58	58	Slot 58 : MTT Extension Method, Cycle: 1	62.81	2.933	90.58	3.188	4463.62	1.89	36.50	
59	59	Slot 59 : MTT Extension Method, Cycle: 1	56.60	0.786	76.28	1.963	3390.31	54.91	69.15	
60	60	Slot 60 : MTT Extension Method, Cycle: 1	49.05	3.011	91.33	1.247	3516.63	49.38	75.70	
61	61	Slot 61 : MTT Extension Method, Cycle: 1	60.83	0.467	87.68	2.248	4188.42	49.63	79.00	
62	62	Slot 62 : MTT Extension Method, Cycle: 1	54.72	1.348	83.27	1.761	3579.44	42.90	68.05	
63	63	Slot 63 : MTT Extension Method, Cycle: 1	48.95	0.000	58.85	0.000	2262.50	50.92	38.05	
64	64	Slot 64 : MTT Extension Method, Cycle: 1	48.11	1.175	66.18	1.512	2500.26	45.58	54.40	
65	65	Slot 65 : MTT Extension Method, Cycle: 1	54.90	1.827	74.76	1.844	3221.91	43.06	63.00	
66	66	Slot 66 : MTT Extension Method, Cycle: 1	56.89	1.929	87.10	3.248	3892.10	52.91	74.85	
67	67	Slot 67 : MTT Extension Method, Cycle: 1	54.78	3.750	74.62	0.535	3209.64	54.67	64.60	
68	68	Slot 68 : MTT Extension Method, Cycle: 1	66.01	0.696	83.25	0.968	4315.73	43.36	76.65	
69	69	Slot 69 : MTT Extension Method, Cycle: 1	67.14	0.000	92.29	0.000	4866.60	44.17	93.45	
70	70	Slot 70 : MTT Extension Method, Cycle: 1	56.91	0.875	87.44	2.144	3909.17	46.44	92.95	
71	71	Slot 71 : MTT Extension Method, Cycle: 1	66.53	0.320	84.93	6.299	4436.58	11.44	51.85	
72	72	Slot 72 : MTT Extension Method, Cycle: 1	69.72	1.301	91.61	0.955	5016.16	53.07	104.35	
73	73	Slot 73 : MTT Extension Method, Cycle: 1	62.82	1.103	98.30	1.909	4849.17	49.53	106.50	
74		tag	
75	75	Slot 75 : MTT Extension Method, Cycle: 1	55.52	1.550	91.36	4.944	3980.82	47.56	80.75	
76	76	Slot 76 : MTT Extension Method, Cycle: 1	60.40	1.336	70.44	2.326	3342.72	53.58	76.65	
77	77	Slot 77 : MTT Extension Method, Cycle: 1	50.75	3.182	68.82	5.904	2735.91	37.44	46.90	
78	78	Slot 78 : MTT Extension Method, Cycle: 1	58.11	4.445	104.31	1.679	4759.37	44.32	97.55	
79		tag	
80	80	Slot 80 : MTT Extension Method, Cycle: 1	54.39	2.776	94.22	3.430	4024.82	42.00	76.10	
81	81	Slot 81 : MTT Extension Method, Cycle: 1	55.15	2.731	87.26	1.138	3779.06	46.94	74.65	
82	82	Slot 82 : MTT Extension Method, Cycle: 1	70.06	1.534	79.71	3.682	4383.61	53.36	91.20	
83	83	Slot 83 : MTT Extension Method, Cycle: 1	68.11	2.356	86.13	1.020	4607.83	44.05	100.55	
