Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ locx NAC positive 3_Locx NAC negative 4_LOcx negative 6.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
64	64	Slot 64 : MTT Extension Method, Cycle: 1	52.19	2.045	68.46	4.365	2801.87	43.56	58.05	
65	65	Slot 65 : MTT Extension Method, Cycle: 1	56.45	1.106	76.27	2.493	3380.46	47.86	72.05	
66	66	Slot 66 : MTT Extension Method, Cycle: 1	54.88	2.688	68.59	6.434	2949.43	45.37	65.05	
67	67	Slot 67 : MTT Extension Method, Cycle: 1	51.60	3.731	81.71	3.647	3318.11	1.52	27.45	
68	68	Slot 68 : MTT Extension Method, Cycle: 1	49.35	0.000	58.40	0.000	2263.55	49.46	54.65	
69	69	Slot 69 : MTT Extension Method, Cycle: 1	55.10	2.977	75.24	1.232	3254.29	47.81	76.60	
70	70	Slot 70 : MTT Extension Method, Cycle: 1	49.38	1.315	91.64	1.868	3554.93	53.30	68.85	
71		tag	
72	72	Slot 72 : MTT Extension Method, Cycle: 1	56.26	1.604	89.68	2.029	3961.01	57.91	90.10	
73	73	Slot 73 : MTT Extension Method, Cycle: 1	57.98	2.558	97.08	4.075	4415.89	45.04	87.40	
74	74	Slot 74 : MTT Extension Method, Cycle: 1	64.45	1.181	86.88	1.303	4397.16	42.05	91.80	
75	75	Slot 75 : MTT Extension Method, Cycle: 1	56.20	0.283	63.17	0.099	2788.27	50.07	53.05	
