Summary Data Ver: 1.3
Source File: D:\20241204_EN_IHNY_bleached_Olaplex Phos control_0.01_0.03_0.05.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
55	55	Slot 55 : MTT Extension Method, Cycle: 1	66.63	2.288	87.45	1.026	4574.84	57.78	93.65	
56	56	Slot 56 : MTT Extension Method, Cycle: 1	56.13	2.580	82.10	1.820	3619.61	49.48	72.65	
57	57	Slot 57 : MTT Extension Method, Cycle: 1	64.52	3.139	85.88	3.908	4345.85	46.54	93.95	
58	58	Slot 58 : MTT Extension Method, Cycle: 1	59.91	4.960	87.23	1.400	4104.76	45.37	75.35	
59	59	Slot 59 : MTT Extension Method, Cycle: 1	67.65	1.083	89.00	1.702	4729.71	50.83	106.05	
60	60	Slot 60 : MTT Extension Method, Cycle: 1	37.56	1.625	68.36	0.922	2017.52	5.59	29.20	
61	61	Slot 61 : MTT Extension Method, Cycle: 1	55.97	2.262	89.25	2.552	3920.01	50.64	83.05	
62	62	Slot 62 : MTT Extension Method, Cycle: 1	48.81	1.025	63.15	5.303	2418.99	42.87	45.15	
63	63	Slot 63 : MTT Extension Method, Cycle: 1	68.34	0.354	81.10	5.226	4351.98	53.36	96.50	
64	64	Slot 64 : MTT Extension Method, Cycle: 1	68.11	3.783	82.67	5.190	4414.92	48.35	94.75	
65	65	Slot 65 : MTT Extension Method, Cycle: 1	49.25	0.495	65.37	6.053	2529.74	44.15	58.30	
66	66	Slot 66 : MTT Extension Method, Cycle: 1	68.96	0.771	104.77	2.566	5674.88	51.75	109.30	
67		tag	
68	68	Slot 68 : MTT Extension Method, Cycle: 1	60.12	2.089	111.56	0.241	5267.78	44.00	108.80	
69	69	Slot 69 : MTT Extension Method, Cycle: 1	66.93	3.058	104.11	3.250	5476.12	45.56	112.00	
70	70	Slot 70 : MTT Extension Method, Cycle: 1	50.05	0.205	73.75	1.900	2899.00			
71	71	Slot 71 : MTT Extension Method, Cycle: 1	65.11	4.843	92.43	4.405	4726.62	43.03	85.00	
72	72	Slot 72 : MTT Extension Method, Cycle: 1	63.50	0.000	72.40	0.000	3610.79	41.72	60.55	
73	73	Slot 73 : MTT Extension Method, Cycle: 1	61.18	0.627	91.40	4.626	4390.23	58.09	98.25	
74	74	Slot 74 : MTT Extension Method, Cycle: 1	69.28	1.573	103.05	2.139	5605.35	48.85	100.20	
75	75	Slot 75 : MTT Extension Method, Cycle: 1	48.63	1.453	88.83	0.906	3393.12	52.07	85.00	
76	76	Slot 76 : MTT Extension Method, Cycle: 1	65.73	0.454	79.26	0.467	4092.02	39.54	68.80	
77	77	Slot 77 : MTT Extension Method, Cycle: 1	53.64	1.838	64.07	2.086	2697.89	49.84	54.00	
78	78	Slot 78 : MTT Extension Method, Cycle: 1	61.01	0.427	81.43	1.125	3902.32	30.40	58.35	
79	79	Slot 79 : MTT Extension Method, Cycle: 1	57.35	5.159	80.44	3.577	3621.88	50.16	69.35	
80	80	Slot 80 : MTT Extension Method, Cycle: 1	60.44	2.003	65.98	1.561	3133.66	58.76	70.95	
81	81	Slot 81 : MTT Extension Method, Cycle: 1	61.55	0.415	85.49	1.276	4132.84	47.34	79.30	
82	82	Slot 82 : MTT Extension Method, Cycle: 1	46.63	1.067	70.43	1.634	2578.99	39.47	45.20	
83	83	Slot 83 : MTT Extension Method, Cycle: 1	68.47	0.311	76.54	0.771	4116.21	50.08	88.25	
84	84	Slot 84 : MTT Extension Method, Cycle: 1	49.67	0.537	74.10	1.704	2890.14	60.30	57.90	
85	85	Slot 85 : MTT Extension Method, Cycle: 1	66.28	0.381	77.23	0.281	4020.06	52.91	90.30	
86	86	Slot 86 : MTT Extension Method, Cycle: 1	76.14	0.785	99.72	3.140	5964.64	47.32	116.85	
87	87	Slot 87 : MTT Extension Method, Cycle: 1	51.80	1.554	65.10	0.361	2648.17	54.42	50.50	
88	88	Slot 88 : MTT Extension Method, Cycle: 1	52.61	2.480	90.57	3.280	3738.22	52.71	78.75	
89	89	Slot 89 : MTT Extension Method, Cycle: 1	51.04	1.323	66.95	2.642	2682.00	10.78	34.30	
90	90	Slot 90 : MTT Extension Method, Cycle: 1	39.72	2.300	72.00	1.298	2244.81	41.85	52.40	
91	91	Slot 91 : MTT Extension Method, Cycle: 1	48.36	1.830	82.08	2.133	3115.41	51.42	70.10	
92	92	Slot 92 : MTT Extension Method, Cycle: 1	56.21	2.634	77.63	2.689	3423.73	49.01	70.95	
93	93	Slot 93 : MTT Extension Method, Cycle: 1	67.01	0.561	97.52	1.762	5133.03	50.41	100.75	
94	94	Slot 94 : MTT Extension Method, Cycle: 1	75.35	4.525	99.82	8.026	5893.35	44.13	123.50	
95	95	Slot 95 : MTT Extension Method, Cycle: 1	54.43	2.335	82.76	6.254	3532.19	57.04	84.30	
96	96	Slot 96 : MTT Extension Method, Cycle: 1	55.92	1.258	73.63	3.777	3233.58	49.80	65.60	
97	97	Slot 97 : MTT Extension Method, Cycle: 1	60.01	3.521	90.31	10.008	4274.97	43.58	81.65	
98	98	Slot 98 : MTT Extension Method, Cycle: 1	73.10	2.694	85.87	3.493	4925.99	48.78	90.80	
99	99	Slot 99 : MTT Extension Method, Cycle: 1	63.30	3.182	97.97	0.247	4870.59	51.46	101.90	
100	100	Slot 100 : MTT Extension Method, Cycle: 1	59.50	3.299	75.13	2.942	3514.49	44.30	62.55	
