RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
33	4286.9	3.03E+01	6.80E-01	4.80E+09	4.42E-07	1.00E-02	2.64E-01	1.57E+01	8.59E-01	4.38E+01	2.23E-05	49.438	9.49E-01	2.21E+02
34	3444.8	3.03E+01	6.02E-01	5.30E+09	0.00E+00	9.21E-03	2.64E-01	2.09E+01	8.58E-01	5.14E+01	2.26E-05	54.716	7.79E-01	2.26E+02
35	4302.6	3.01E+01	7.24E-01	5.06E+09	5.89E-08	1.22E-02	2.33E-01	1.55E+01	8.31E-01	4.63E+01	2.41E-05	58.425	9.82E-01	2.28E+02
36	4206.3	3.01E+01	8.39E-01	6.00E+09	-2.45E-08	9.00E-03	2.33E-01	1.77E+01	8.65E-01	5.53E+01	2.92E-05	44.212	9.49E-01	2.26E+02
37														
38	2513.9	3.02E+01	3.82E-01	4.59E+09	0.00E+00	6.21E-03	2.32E-01	2.11E+01	8.27E-01	4.78E+01	1.57E-05	59.808	4.60E-01	1.83E+02
39	2225.9	3.03E+01	4.34E-01	5.92E+09	0.00E+00	7.17E-03	2.97E-01	2.80E+01	8.57E-01	6.13E+01	1.73E-05	60.58	5.42E-01	2.44E+02
40	3480.7	3.01E+01	6.50E-01	5.63E+09	0.00E+00	8.92E-03	2.32E-01	2.16E+01	8.63E-01	5.79E+01	2.65E-05	51.66	8.07E-01	2.32E+02
41	4108.1	3.02E+01	8.35E-01	6.15E+09	1.72E-07	1.16E-02	2.65E-01	2.02E+01	8.60E-01	5.71E+01	2.89E-05	51.257	1.06E+00	2.57E+02
42	2605.4	3.04E+01	5.16E-01	6.01E+09	0.00E+00	6.51E-03	2.31E-01	2.32E+01	8.89E-01	6.21E+01	2.27E-05	51.812	5.69E-01	2.18E+02
43	3488.4	3.05E+01	5.63E-01	4.93E+09	0.00E+00	8.77E-03	2.29E-01	1.93E+01	8.84E-01	5.08E+01	2.43E-05	56.698	6.93E-01	1.99E+02
44	3071.1	3.01E+01	5.92E-01	5.80E+09	0.00E+00	7.56E-03	2.33E-01	2.09E+01	8.64E-01	5.75E+01	2.31E-05	50.997	6.90E-01	2.25E+02
45	3147.1	3.03E+01	6.45E-01	6.21E+09	0.00E+00	8.75E-03	2.64E-01	2.56E+01	8.25E-01	6.03E+01	2.32E-05	54.422	7.31E-01	2.32E+02
46	4258	3.03E+01	7.47E-01	5.31E+09	0.00E+00	1.07E-02	2.64E-01	1.95E+01	8.26E-01	4.90E+01	2.48E-05	52.246	9.44E-01	2.22E+02
47	2766.8	3.02E+01	5.40E-01	5.90E+09	2.45E-08	1.05E-02	2.32E-01	2.00E+01	8.61E-01	5.62E+01	2.01E-05	66.578	7.55E-01	2.73E+02
48	3561.7	3.01E+01	7.51E-01	6.34E+09	-2.94E-08	9.62E-03	2.66E-01	2.41E+01	8.64E-01	6.32E+01	2.84E-05	50.133	9.01E-01	2.53E+02
49	2664.7	3.02E+01	5.08E-01	5.75E+09	3.68E-07	4.85E-03	2.65E-01	2.17E+01	8.29E-01	5.50E+01	1.76E-05	39.337	5.53E-01	2.08E+02
50	2842.7	3.04E+01	5.10E-01	5.46E+09	0.00E+00	8.71E-03	2.30E-01	2.42E+01	8.22E-01	5.63E+01	2.07E-05	63.717	6.32E-01	2.22E+02
51														
52	2855.7	3.03E+01	6.06E-01	6.43E+09	0.00E+00	8.47E-03	2.64E-01	2.42E+01	8.92E-01	6.41E+01	2.45E-05	56.44	6.97E-01	2.44E+02
53	2769.1	3.03E+01	5.22E-01	5.71E+09	7.85E-08	1.01E-02	2.64E-01	2.29E+01	8.25E-01	5.47E+01	1.85E-05	71.749	6.51E-01	2.35E+02
54	3522	3.01E+01	6.24E-01	5.34E+09	0.00E+00	9.79E-03	2.65E-01	2.05E+01	8.63E-01	5.21E+01	2.26E-05	59.887	7.61E-01	2.16E+02
55	5467.8	3.01E+01	9.29E-01	5.11E+09	5.35E-07	1.24E-02	2.33E-01	1.22E+01	8.32E-01	4.28E+01	2.73E-05	55.341	9.80E-01	1.79E+02
56	3392.8	3.02E+01	6.42E-01	5.72E+09	0.00E+00	8.09E-03	2.32E-01	2.02E+01	8.60E-01	5.49E+01	2.42E-05	52.976	6.92E-01	2.04E+02
57	4273.4	3.01E+01	7.90E-01	5.57E+09	0.00E+00	1.40E-02	2.32E-01	1.83E+01	8.63E-01	5.30E+01	2.87E-05	63.911	1.06E+00	2.47E+02
58	2405.1	3.02E+01	4.41E-01	5.53E+09	0.00E+00	6.87E-03	2.32E-01	2.41E+01	8.62E-01	5.79E+01	1.89E-05	58.17	5.53E-01	2.30E+02
59	4694.8	3.01E+01	8.35E-01	5.36E+09	0.00E+00	1.40E-02	2.32E-01	1.86E+01	8.63E-01	5.32E+01	3.20E-05	61.554	1.07E+00	2.27E+02
60	3118.4	3.00E+01	6.02E-01	5.79E+09	4.31E-06	9.48E-03	8.67E-01	1.56E+01	1.67E+00	6.04E+01	2.85E-05	58.205	7.63E-01	2.45E+02
61	3926.7	3.02E+01	6.76E-01	5.19E+09	4.24E-07	1.23E-02	2.32E-01	1.44E+01	8.95E-01	4.90E+01	2.52E-05	61.903	9.44E-01	2.40E+02
62	4246.4	3.03E+01	7.42E-01	5.30E+09	0.00E+00	1.17E-02	2.64E-01	2.25E+01	8.25E-01	5.22E+01	2.68E-05	59.334	9.02E-01	2.12E+02
63	3379.4	3.02E+01	6.56E-01	5.87E+09	1.37E-07	9.69E-03	2.32E-01	2.08E+01	8.93E-01	5.92E+01	2.72E-05	56.533	8.11E-01	2.40E+02
64	3755.4	3.01E+01	6.78E-01	5.44E+09	0.00E+00	1.11E-02	2.32E-01	2.06E+01	8.63E-01	5.47E+01	2.70E-05	64.442	7.96E-01	2.12E+02
65	4502.8	3.02E+01	8.31E-01	5.57E+09	0.00E+00	1.23E-02	2.32E-01	1.91E+01	8.61E-01	5.33E+01	3.10E-05	57.701	1.01E+00	2.23E+02
66	2181.9	3.02E+01	4.03E-01	5.56E+09	3.68E-08	4.09E-03	2.65E-01	2.54E+01	8.95E-01	6.00E+01	1.78E-05	42.573	4.26E-01	1.95E+02
67	2049.2	3.02E+01	3.97E-01	5.85E+09	2.94E-08	4.96E-03	2.65E-01	2.68E+01	8.29E-01	6.03E+01	1.52E-05	52.504	4.21E-01	2.06E+02
