Three Phase Analysis Version 6.0																								
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
51	3174.7	63.4	66.6	60.7	3671000000	39.28	3.11	0.01251	42.79	0.01348	41.6	0.0131	0.001706	45.7	0.0144	0.002969	28.87	3.161	56.08	73.4	0.02312	226.729748	0.008482	88350000
52	3350.7	66.7	75.6	56.4	4363000000	49.34	2.75	0.01265	43.57	0.013	43.45	0.01297	0.001806	45.4	0.01355	0.003093	21.89	2.794	42.75	60.3	0.018	176.5197	0.005859	57900000
53	4266.3	87.2	110	49.4	4447000000	64	2.95	0.01404	61.29	0.01437	61.2	0.01434	0.0025	62.9	0.01474	0.004345	26.67	4.013	51.95	89.8	0.02105	206.4299825	0.01041	80770000
54																								
55	3697.4	71.4	83.2	56.6	3828000000	47.34	3.25	0.01323	49.99	0.01352	49.2	0.01331	0.002034	51.9	0.01404	0.003537	25.4	3.714	48.57	76.5	0.02069	202.8995885	0.008053	71480000
56	3607.1	71.6	87.5	52.5	4365000000	52.76	2.86	0.01318	49.45	0.01371	49	0.01358	0.002038	51.25	0.01421	0.003531	24.49	3.532	47.11	73.25	0.02031	199.1730615	0.007618	69430000
57	5494	87.4	106.7	65.6	3509000000	65.36	3.13	0.01252	72.07	0.01312	71.4	0.013	0.002884	73.65	0.01341	0.005038	29.08	4.585	56.62	113.1	0.02059	201.9189235	0.01371	83020000
58	4221.1	74.8	82.9	64.9	4290000000	61.07	2.81	0.01295	56.03	0.01327	55.95	0.01325	0.002298	58.05	0.01375	0.003989	22.4	3.633	43.65	77.95	0.01847	181.1288255	0.007688	60270000
59	4219.5	78.5	95.5	56.2	4444000000	62.96	2.96	0.01363	57.01	0.01351	55.3	0.01311	0.002364	57.75	0.01369	0.004032	30.3	3.199	58.96	88.5	0.02097	205.6454505	0.0114	89000000
60	5782.5	89	102.4	71.8	3711000000	72.65	3.09	0.01254	76.25	0.01319	77.55	0.01341	0.003018	79.95	0.01383	0.005323	26.37	4.348	51.35	109.9	0.01901	186.4244165	0.01258	72260000
61	2626.8	66	80.7	41.4	5142000000	45.68	2.59	0.01473	38.7	0.01473	38.15	0.01452	0.001612	39.3	0.01496	0.002739	26.21	2.165	51.76	54.45	0.02073	203.2918545	0.006407	80920000
62	2821.2	60.5	65.6	54.8	4166000000	39.59	2.81	0.01251	34.81	0.01234	34.25	0.01214	0.001451	36	0.01276	0.002496	19.73	1.051	38.24	41.6	0.01475	144.6480875	0.003975	46560000
63	3045.6	62.9	67.8	57.2	4234000000	43.86	3.77	0.01341	41.46	0.01361	40.9	0.01343	0.001584	42.65	0.014	0.00282	25.36	2.533	48.35	58.9	0.01934	189.660611	0.006245	68410000
64	4545.9	82.1	101.2	57.2	5162000000	79.79	3.17	0.01411	67.29	0.0148	69.1	0.0152	0.002623	70.15	0.01543	0.004681	22.21	2.396	43.2	85.3	0.01876	183.972754	0.008723	64010000
65	3673	70.9	81.8	57.2	4278000000	53.04	2.75	0.01278	48.86	0.0133	48.9	0.01331	0.001993	49.65	0.01352	0.003433	29.8	2.624	58.61	73.6	0.02004	196.525266	0.00955	86100000
66	1787.6	48.4	51.6	44.1	4366000000	26.55	3.9	0.01418	26.53	0.01484	26.65	0.01491	0.0009977	27.2	0.01522	0.001794	26.93	1.745	51.25	39.25	0.02196	215.354034	0.004313	80500000
67																								
68	2391.8	55.5	59.8	51	4249000000	34.08	2.7	0.01296	32.18	0.01346	31.65	0.01323	0.001322	33.7	0.01409	0.002294	28.19	2.199	54.87	52.15	0.0218	213.78497	0.006119	84160000
69	2288.9	55.2	63.2	46.1	4613000000	35.64	2.75	0.01357	31.44	0.01374	31.05	0.01357	0.001301	32.5	0.0142	0.002224	25.96	2.05	50.86	46.75	0.02042	200.251793	0.005232	75690000
70	5388.8	84.5	95.7	71.6	4105000000	73.92	2.98	0.01267	73.01	0.01355	74.6	0.01384	0.002947	76.95	0.01428	0.005201	24.52	5.285	47.08	110.2	0.02044	200.447926	0.01132	68890000
71	4144.6	77.3	91.7	57.6	3991000000	56.05	2.79	0.0128	55.1	0.01329	54.4	0.01313	0.002219	56.9	0.01373	0.00386	28.39	3.448	55.92	85.75	0.02069	202.8995885	0.01034	82920000
72	5156.2	87.2	103.7	63.3	4034000000	70.02	3.07	0.01306	67.06	0.01301	65.85	0.01277	0.00274	68.4	0.01327	0.00473	27.34	4.124	52.97	101	0.01959	192.1122735	0.01175	75230000
73	3361.3	67.5	78.7	54.4	4169000000	47.04	2.83	0.01321	45.05	0.0134	45.4	0.01351	0.001849	46	0.01369	0.003212	26.05	2.307	50.46	61.65	0.01834	179.853961	0.007217	70720000
74	2819	60.7	68.9	52.2	4411000000	42.13	2.76	0.01265	36.24	0.01286	35.8	0.0127	0.001505	36.6	0.01298	0.002555	25.02	2.303	49.29	52.35	0.01857	182.1094905	0.005739	67660000
75	3652.6	69.1	76	61.2	4318000000	53.07	2.81	0.01316	48.86	0.01338	47.35	0.01296	0.002008	49.35	0.01351	0.003414	32.32	2.786	63.32	81.05	0.02219	217.6095635	0.01092	98660000
																								
Min:	1787.6	48.4	51.6	40.9	3398000000	26.55	2.15	0.01055	23.35	0.01131	23.2	0.01151	0.0009763	24.5	0.01216	0.001686	11.19	0.7456	21.45	31.7	0.01348	132.193642	0.003228	25630000
Max:	7004.9	99.6	119.8	79.4	5162000000	98.53	4.14	0.01473	89.24	0.01484	88.6	0.0152	0.003672	93.05	0.01543	0.006317	32.32	5.743	63.32	136.2	0.02412	236.536398	0.01732	98660000
Median:	3697.4	72.7	83.8	56.9	4103000000	52.56	2.86	0.01268	49.99	0.01324	49.2	0.01308	0.002035	51.78	0.01369	0.003534	26.27	3.161	51.08	76.05	0.02004	196.525266	0.00829	75230000
Mean:	3914.4	73.1	85.3	57.6	4122000000	53.84	2.92	0.01268	51.54	0.01324	51.08	0.01312	0.00209	53.68	0.01379	0.003637	25.99	3.223	50.49	77.44	0.01987	194.8581355	0.008631	73260000
Std. Dev.:	1144.9	11.4	15.6	8.7	327100000	14.5	0.31	0.0007685	14.3	0.0006703	14.27	0.0006981	0.0005775	15.04	0.0007327	0.001012	3.43	1.101	6.72	22.53	0.002025	19.85846625	0.002783	12920000
% Premature Failure:	0																							
																								
	3718.113043	71.20869565	82.46956522	56.66956522	4255043478	52.83565217	2.982173913	0.01317608696	50.21913043	0.0135426087	49.94347826	0.0134473913	0.002034769565	51.82173913	0.01396782609	0.003535217391	26.23913043	3.04326087	51.00956522	74.20434783	0.0199926087	196.0605161	0.008419565217	74909130.43
	1072.554106	11.54618839	16.3493518	7.734070714	393641447.2	14.04737369	0.3189180077	0.000618022794	14.28247716	0.0006208368062	14.62384653	0.0007135711559	0.0005686617491	14.90421559	0.0006674030847	0.001006963435	2.960442094	1.014672191	5.906767673	21.89939244	0.001755257602	17.21319696	0.002749476559	11696896.6
																								
								0.01317608696			0.01343247978			0.01393764485										
