Three Phase Analysis Version 6.0																								
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
76	6105.3	92.1	113.2	68.7	3895000000	80.62	2.96	0.01276	81.07	0.01328	78.5	0.01286	0.003237	83.3	0.01364	0.005624	30.96	5.075	60.82	136.2	0.0223	218.688295	0.01732	94340000
77	3689	68.9	79.1	59.4	4221000000	52.56	2.38	0.01067	41.72	0.01131	42.45	0.01151	0.001728	44.85	0.01216	0.002997	20.56	1.326	40.66	51.65	0.014	137.2931	0.005238	47020000
78	3877.1	74.1	89.1	55.4	4629000000	60.59	2.42	0.01266	53.37	0.01376	53.7	0.01385	0.0022	56.05	0.01446	0.003813	21.76	3.296	42.99	74.3	0.01916	187.895414	0.007223	61710000
79	2264.3	56	65.6	44	4668000000	35.54	2.84	0.01376	31.62	0.01396	31.5	0.01391	0.001301	32.15	0.0142	0.002252	26.22	1.961	50.86	45.35	0.02003	196.4271995	0.005178	75420000
80	3180.5	65.1	73.8	54.9	4256000000	45.84	2.86	0.01258	40.64	0.01278	39.85	0.01253	0.001647	42.1	0.01324	0.00284	28.14	2.342	55.05	60.15	0.01891	185.4437515	0.007317	76440000
81	3546.2	69.8	79.5	56.9	3991000000	47.91	3.06	0.01349	48.77	0.01375	47.95	0.01352	0.001985	51.15	0.01442	0.003443	25.77	3.792	50.15	74.2	0.02092	205.155118	0.008262	77370000
82	4181.6	74.5	83.7	63.6	4215000000	59.65	2.79	0.01251	53.46	0.01278	53.65	0.01283	0.002196				11.19	0.9248	21.45	56.35	0.01348	132.193642	0.003228	25630000
83	4203.6	73.5	79.2	67.4	4382000000	62.44	2.73	0.01373	60.57	0.01441	60.8	0.01446	0.002454	63.7	0.01515	0.004314	22.41	3.054	43.96	81.35	0.01935	189.7586775	0.008281	65520000
84	2849	62.4	70.9	51.1	4491000000	43.3	2.56	0.01218	38.38	0.01347	39.95	0.01402	0.001565	42.4	0.01488	0.002793	18.36	0.7456	36.16	45.8	0.01608	157.690932	0.004207	49020000
85	4151.9	74.6	83.5	63.4	4397000000	61.54	2.15	0.01055	51.15	0.01232	51.8	0.01248	0.002133	55.45	0.01336	0.003689	21.16	3.172	42.16	72.4	0.01744	171.027976	0.006882	54810000
86	2610.4	61.8	74.4	44.6	4593000000	40.78	3.17	0.01396	37.67	0.01443	37.85	0.0145	0.001464	40.05	0.01534	0.002637	22.26	2.13	43.24	51.55	0.01975	193.6813375	0.005026	64240000
87																								
88	5647.5	88.4	102.7	70	3995000000	76.36	3.02	0.01308	75.6	0.01339	74.85	0.01325	0.003078	78.7	0.01394	0.005343	22.97	5.33	44.49	108.5	0.01921	188.3857465	0.0107	62910000
89	3827.3	73.9	90.4	54	4641000000	59.84	2.81	0.01351	52.55	0.01373	52.05	0.0136	0.002158	54.6	0.01427	0.003736	26.27	3.183	51.16	76.05	0.01987	194.8581355	0.008716	75260000
90	3321.7	72.1	90.4	46.8	4430000000	49.8	3.05	0.01432	48.55	0.01462	47.75	0.01438	0.00197	50.3	0.01514	0.003417	26.29	3.53	51.1	76.15	0.02293	224.8664845	0.00829	82860000
91	5207.8	86.6	103	64.4	4223000000	74.67	3	0.01263	68.19	0.01309	68.1	0.01308	0.002744	70.95	0.01362	0.004806	23.78	5.075	46.54	102.4	0.01965	192.7006725	0.01023	65440000
92	6937.5	99.6	119.8	73.7	4206000000	98.53	2.91	0.01268	89.24	0.01286	88.6	0.01277	0.003672	93.05	0.01341	0.006317	22.89	5.743	44.55	125.4	0.01807	177.2061655	0.01258	60080000
93	4363.2	78.4	92.7	60.1	4006000000	58.48	3.09	0.01295	58.09	0.01331	57.15	0.0131	0.002359	60.2	0.0138	0.004104	27.34	3.987	52.61	90.8	0.02081	204.0763865	0.01031	77560000
94	3021.6	63.5	70.3	54.8	4287000000	43.4	2.86	0.01322	41.49	0.01373	40.85	0.01352	0.001671	44.45	0.01471	0.002962	24.49	3.005	47.11	62.9	0.02082	204.174453	0.006467	70360000
95	3336.1	65.9	76	55.9	4378000000	48.86	2.56	0.01196	42.54	0.01275	42.45	0.01272	0.001754	43.75	0.01311	0.003035	27.7	2.627	54.12	64.75	0.01941	190.3470765	0.007756	76300000
96																								
97	3358.4	65.8	71.3	60	3956000000	44.14	2.93	0.01321	45.49	0.01354	44.95	0.01338	0.001894	47.15	0.01404	0.00328	25.33	3.454	48.31	69.8	0.02078	203.782187	0.007348	71320000
98	5150.9	84.5	98	66.8	3839000000	67.15	3.23	0.01332	69.19	0.01343	68.25	0.01325	0.002788	69.85	0.01356	0.004833	26.52	4.713	51.37	103.2	0.02004	196.525266	0.01149	74280000
99	4605	82.5	100	58.7	4103000000	63.51	3.1	0.01281	58.38	0.01268	57.8	0.01255	0.002411	59.8	0.01299	0.004153	21.83	2.944	41.62	75	0.01629	159.7503285	0.007394	52960000
100	4858	78.5	87.1	70.9	3751000000	61	3.15	0.0126	64.99	0.01338	64.8	0.01334	0.002658	67.5	0.01389	0.004615	24.37	4.525	46.57	95.5	0.01966	192.798739	0.009827	66430000
																								
Min:	1787.6	48.4	51.6	40.9	3398000000	26.55	2.15	0.01055	23.35	0.01131	23.2	0.01151	0.0009763	24.5	0.01216	0.001686	11.19	0.7456	21.45	31.7	0.01348	132.193642	0.003228	25630000
Max:	7004.9	99.6	119.8	79.4	5162000000	98.53	4.14	0.01473	89.24	0.01484	88.6	0.0152	0.003672	93.05	0.01543	0.006317	32.32	5.743	63.32	136.2	0.02412	236.536398	0.01732	98660000
Median:	3697.4	72.7	83.8	56.9	4103000000	52.56	2.86	0.01268	49.99	0.01324	49.2	0.01308	0.002035	51.78	0.01369	0.003534	26.27	3.161	51.08	76.05	0.02004	196.525266	0.00829	75230000
Mean:	3914.4	73.1	85.3	57.6	4122000000	53.84	2.92	0.01268	51.54	0.01324	51.08	0.01312	0.00209	53.68	0.01379	0.003637	25.99	3.223	50.49	77.44	0.01987	194.8581355	0.008631	73260000
Std. Dev.:	1144.9	11.4	15.6	8.7	327100000	14.5	0.31	0.0007685	14.3	0.0006703	14.27	0.0006981	0.0005775	15.04	0.0007327	0.001012	3.43	1.101	6.72	22.53	0.002025	19.85846625	0.002783	12920000
% Premature Failure:	0																							
																								
	4099.734783	74.45652174	86.6826087	59.36956522	4241434783	58.10913043	2.853478261	0.01283217391	54.46608696	0.0133373913	54.15652174	0.01327869565	0.002220304348	56.88636364	0.01396954545	0.003863772727	23.85086957	3.301495652	46.39347826	78.25	0.01908521739	187.1620471	0.008229130435	66403478.26
	1152.44817	10.75397711	14.32047651	8.266110154	268232908.6	14.75527761	0.2778261179	0.0009055684128	14.82807863	0.0007367941454	14.44665976	0.0007225730812	0.0006010906326	15.43145506	0.0007938662312	0.001054607484	3.990320007	1.374744289	7.758559267	24.40676601	0.002325148812	22.80192059	0.003071945021	14289856.42
																								
								0.01283217391			0.01320976224			0.01387562041										
