RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
47	3847.8	3.0080e+001	6.688e-001	5.228e+009	2.698e-008	7.377e-003	2.327e-001	1.696e+001	8.644e-001	5.036e+001	2.471e-005	48.969	6.853e-001	1.781e+002
48	3972.8	3.0140e+001	4.973e-001	3.773e+009	2.796e-007	6.570e-003	2.322e-001	1.173e+001	8.295e-001	3.371e+001	1.647e-005	42.9	6.696e-001	1.685e+002
49	3972.9	3.0150e+001	6.447e-001	4.893e+009	3.188e-007	9.259e-003	2.653e-001	1.729e+001	8.624e-001	4.680e+001	2.353e-005	56.551	7.255e-001	1.826e+002
50	3694.3	3.0080e+001	6.663e-001	5.425e+009	0.000e+000	8.270e-003	2.327e-001	1.912e+001	8.644e-001	5.378e+001	2.570e-005	49.136	7.736e-001	2.094e+002
51	1958.6	3.0170e+001	3.961e-001	6.101e+009	-4.91E-09	4.637e-003	2.320e-001	2.379e+001	8.618e-001	6.136e+001	1.595e-005	49.486	4.302e-001	2.196e+002
52	6738.6	3.0080e+001	9.737e-001	4.346e+009	6.720e-007	1.324e-002	2.327e-001	1.056e+001	8.644e-001	3.851e+001	3.121e-005	46.642	1.277e+000	1.896e+002
53	4392.2	3.0160e+001	7.128e-001	4.894e+009	0.000e+000	1.044e-002	2.653e-001	1.876e+001	8.289e-001	4.568e+001	2.419e-005	53.415	8.952e-001	2.038e+002
54	2919.9	3.0050e+001	5.029e-001	5.176e+009	9.565e-008	6.070e-003	2.329e-001	1.848e+001	8.319e-001	4.973e+001	1.808e-005	50.849	5.381e-001	1.843e+002
55	3903.4	3.0050e+001	7.120e-001	5.481e+009	1.717e-008	9.252e-003	2.329e-001	1.709e+001	8.319e-001	4.951e+001	2.353e-005	52.213	8.305e-001	2.128e+002
56	5323.5	3.0180e+001	9.382e-001	5.319e+009	6.132e-008	1.268e-002	2.651e-001	1.732e+001	8.284e-001	4.699e+001	2.915e-005	54.672	1.051e+000	1.975e+002
57	4725.6	3.0190e+001	8.187e-001	5.230e+009	0.000e+000	1.089e-002	2.319e-001	1.754e+001	8.612e-001	5.066e+001	3.029e-005	53.064	9.394e-001	1.988e+002
58	4579.6	3.0220e+001	7.032e-001	4.640e+009	5.494e-007	6.881e-003	2.647e-001	1.371e+001	8.604e-001	4.113e+001	2.244e-005	38.815	7.510e-001	1.640e+002
59	5789.7	3.0060e+001	1.012e+000	5.254e+009	0.000e+000	8.887e-003	2.661e-001	1.847e+001	8.649e-001	5.024e+001	3.620e-005	40.12	9.796e-001	1.692e+002
60	5262	3.0210e+001	9.766e-001	5.607e+009	0.000e+000	1.318e-002	2.317e-001	1.827e+001	8.937e-001	5.481e+001	3.905e-005	56.438	1.068e+000	2.030e+002
61	3073.9	2.9980e+001	5.434e-001	5.300e+009	2.553e-006	7.857e-003	8.672e-001	3.048e+001	1.734e+000	7.596e+001	4.285e-005	58.205	6.088e-001	1.980e+002
62	4698.2	3.0170e+001	8.623e-001	5.537e+009	0.000e+000	9.888e-003	2.320e-001	1.827e+001	8.618e-001	5.241e+001	3.159e-005	47.166	9.693e-001	2.063e+002
63	4354.3	3.0100e+001	7.474e-001	5.166e+009	5.126e-007	1.956e-003	2.658e-001	1.611e+001	8.638e-001	4.709e+001	2.514e-005	13.223	5.337e-001	1.226e+002
64	4050	3.0150e+001	7.183e-001	5.347e+009	0.000e+000	9.670e-003	2.653e-001	2.059e+001	8.624e-001	5.269e+001	2.743e-005	57.711	7.436e-001	1.836e+002
65	6155.9	3.0040e+001	9.479e-001	4.625e+009	6.009e-007	1.176e-002	2.330e-001	1.155e+001	8.655e-001	4.104e+001	3.082e-005	48.003	1.116e+000	1.813e+002
