11	Slot  : FDAS770 Double-Ended	1	24	0	360	861	3069.7	63.69	73.55	53.14	6.6999	237	
11	Slot  : FDAS770 Double-Ended	2	156	0	360	861	2820.4	64.09	71.25	50.40	7.0949	238	
11	Slot  : FDAS770 Double-Ended	3	288	0	360	861	3041.0	66.95	78.30	49.45	9.4600	236	
11	Slot  : FDAS770 Double-Ended	4	420	0	360	861	3114.9	67.65	80.94	49.00	10.2700	235	
11	Slot  : FDAS770 Double-Ended	5	552	0	360	861	3232.8	66.20	79.40	51.84	9.1700	234	
12	Slot  : FDAS770 Double-Ended	1	24	0	360	941	4254.7	75.30	93.00	58.25	11.8649	236	
12	Slot  : FDAS770 Double-Ended	2	156	0	360	941	4104.3	76.39	93.25	56.04	12.7649	238	
12	Slot  : FDAS770 Double-Ended	3	288	0	360	941	4085.1	76.84	91.25	57.00	11.0950	237	
12	Slot  : FDAS770 Double-Ended	4	420	0	360	941	3738.0	74.29	90.50	52.59	12.1649	237	
12	Slot  : FDAS770 Double-Ended	5	552	0	360	941	3508.7	70.75	87.70	50.94	12.0450	236	
13	Slot  : FDAS770 Double-Ended	1	24	0	360	1022	4832.6	85.84	111.59	55.14	19.8899	238	
13	Slot  : FDAS770 Double-Ended	2	156	0	360	1022	4755.0	85.80	111.19	54.45	19.3850	240	
13	Slot  : FDAS770 Double-Ended	3	288	0	360	1022	4694.0	84.29	106.25	56.25	16.9399	236	
13	Slot  : FDAS770 Double-Ended	4	420	0	360	1022	4409.5	86.25	109.25	51.39	17.6949	235	
13	Slot  : FDAS770 Double-Ended	5	552	0	360	1022	4595.9	84.34	106.20	55.10	16.1499	235	
14	Slot  : FDAS770 Double-Ended	1	24	0	360	1098	2730.3	61.20	72.65	47.85	8.2750	237	
14	Slot  : FDAS770 Double-Ended	2	156	0	360	1098	2829.7	64.19	77.15	46.70	10.3450	239	
14	Slot  : FDAS770 Double-Ended	3	288	0	360	1098	3047.9	65.90	77.09	50.34	9.4450	236	
14	Slot  : FDAS770 Double-Ended	4	420	0	360	1098	3046.8	65.55	76.44	50.75	9.0749	236	
