Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
56	56	"Slot 56 : MTT Extension Method, Cycle: 1"	53.83	1.367	90.25	2.705	3814.12	47.78	85.5
57	57	"Slot 57 : MTT Extension Method, Cycle: 1"	46.63	0.852	88.03	2.363	3224.96	33.5	61.75
58	58	"Slot 58 : MTT Extension Method, Cycle: 1"	46.83	1.654	79.46	0.148	2923.01	49.34	63.55
59	59	"Slot 59 : MTT Extension Method, Cycle: 1"	50.8	2.215	67.75	0.619	2702.56	32.57	40.5
60	60	"Slot 60 : MTT Extension Method, Cycle: 1"	65.55	3.955	89.78	4.508	4619.28	53.87	95
61	61	"Slot 61 : MTT Extension Method, Cycle: 1"	49.68	2.866	73.41	1.837	2864.39	19.53	39.3
62	62	"Slot 62 : MTT Extension Method, Cycle: 1"	54.21	0.18	61.51	1.198	2618.89	40.36	55.75
63	63	"Slot 63 : MTT Extension Method, Cycle: 1"	56.38	2.286	84.61	3.545	3743.25	51.36	78.65
64	64	"Slot 64 : MTT Extension Method, Cycle: 1"	56.87	2.164	64.42	2.234	2875.46	56.19	65.75
65	65	"Slot 65 : MTT Extension Method, Cycle: 1"	56.9	2.711	93.67	1.015	4184.37	50.85	81.65
66	66	"Slot 66 : MTT Extension Method, Cycle: 1"	59.28	1.19	85.32	3.086	3971.6	36.97	67.6
67	67	"Slot 67 : MTT Extension Method, Cycle: 1"	57.81	2.202	81.93	0.862	3721.1	44.15	68.65
68	68	"Slot 68 : MTT Extension Method, Cycle: 1"	55.26	2.228	98.21	3.51	4260.64	41.54	74.85
69	69	"Slot 69 : MTT Extension Method, Cycle: 1"	50.42	1.372	69.69	1.775	2760.86	43.56	48.85
70	70	"Slot 70 : MTT Extension Method, Cycle: 1"	54.88	2.204	76.85	3.51	3308.51	36.73	61.65
71	71	"Slot 71 : MTT Extension Method, Cycle: 1"	47.49	1.73	65.11	0.686	2428.12	2.95	32.25
72	72	"Slot 72 : MTT Extension Method, Cycle: 1"	67.6	0.919	78.45	7.354	4167.79	49.77	76.15
73	73	"Slot 73 : MTT Extension Method, Cycle: 1"	67.14	3.007	99.88	2.696	5264.71	36.64	122.55
74	74	"Slot 74 : MTT Extension Method, Cycle: 1"	73.26	3.386	110.13	1.631	6334.72	25.81	85.4
75	75	"Slot 75 : MTT Extension Method, Cycle: 1"	66.67	0.325	76.35	0.495	3997.81	51.45	85.7
76		tag							
