Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25pk30 phosctrl$25pk30 0.01$25pk30 0.03$25pk30 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
	sq. micron	mm	N/mm	Pascals	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa	
30	4284.1	3.0110e+001	8.074e-001	5.675e+009	0.000e+000	1.047e-002	2.657e-001	2.141e+001	8.303e-001	5.324e+001	2.737e-005	54.268	8.884e-001	2.074e+002	
31	4175.2	3.0250e+001	7.571e-001	5.485e+009	0.000e+000	8.160e-003	2.314e-001	1.903e+001	8.264e-001	5.240e+001	2.688e-005	45.455	8.020e-001	1.921e+002	
32	2625.3	3.0430e+001	4.887e-001	5.665e+009	0.000e+000	5.386e-003	2.300e-001	2.616e+001	8.216e-001	6.073e+001	2.047e-005	44.561	5.239e-001	1.996e+002	
33	3298.6	3.0480e+001	5.750e-001	5.313e+009	1.619e-007	7.386e-003	2.297e-001	1.680e+001	8.530e-001	5.011e+001	2.128e-005	54.068	5.739e-001	1.740e+002	
34	2310.3	3.0110e+001	4.241e-001	5.527e+009	0.000e+000	5.662e-003	2.325e-001	2.208e+001	8.303e-001	5.584e+001	1.629e-005	58.120	4.336e-001	1.877e+002	
35	2622.7	3.0380e+001	4.704e-001	5.448e+009	0.000e+000	6.778e-003	2.304e-001	2.301e+001	8.887e-001	5.910e+001	2.156e-005	57.275	5.273e-001	2.011e+002	
36	4196.9	3.0210e+001	7.100e-001	5.111e+009	1.987e-007	8.058e-003	2.317e-001	1.753e+001	8.937e-001	5.073e+001	2.915e-005	46.971	7.603e-001	1.812e+002	
37	4246.2	3.0260e+001	7.704e-001	5.490e+009	3.924e-008	7.445e-003	2.644e-001	2.068e+001	8.592e-001	5.441e+001	2.881e-005	42.102	7.652e-001	1.802e+002	
38	2589.2	3.0240e+001	4.499e-001	5.254e+009	6.377e-008	5.383e-003	2.646e-001	2.198e+001	8.598e-001	5.381e+001	1.792e-005	47.421	5.092e-001	1.967e+002	
39	2729.7	3.0210e+001	4.771e-001	5.280e+009	1.521e-007	6.444e-003	2.317e-001	2.103e+001	8.606e-001	5.481e+001	1.962e-005	54.121	5.278e-001	1.934e+002	
40	2980.4	3.0090e+001	5.721e-001	5.776e+009	0.000e+000	5.287e-003	2.326e-001	2.205e+001	8.308e-001	5.645e+001	2.147e-005	40.578	5.754e-001	1.931e+002	
41	4129.4	3.0120e+001	7.534e-001	5.495e+009	0.000e+000	6.261e-003	2.324e-001	2.019e+001	8.632e-001	5.536e+001	2.956e-005	37.915	7.020e-001	1.700e+002	
42	4099.3	3.0210e+001	6.307e-001	4.648e+009	0.000e+000	7.889e-003	2.317e-001	1.711e+001	8.937e-001	4.751e+001	2.672e-005	48.328	7.250e-001	1.769e+002	
43	3358.5	3.0100e+001	5.620e-001	5.037e+009	-2.453e-008	8.736e-003	2.326e-001	1.870e+001	8.638e-001	5.024e+001	2.184e-005	57.010	7.221e-001	2.150e+002	
44	5573.2	3.0300e+001	9.231e-001	5.019e+009	2.992e-007	1.626e-004	2.640e-001	1.593e+001	8.251e-001	4.392e+001	2.848e-005	1.947	4.910e-001	8.810e+001	
45	3320.0	3.0710e+001	6.362e-001	5.885e+009	0.000e+000	6.761e-003	2.931e-001	2.512e+001	8.466e-001	5.748e+001	2.374e-005	45.913	6.323e-001	1.905e+002	
46	2903.9	3.0110e+001	4.878e-001	5.058e+009	2.551e-007	3.926e-003	2.325e-001	1.807e+001	8.303e-001	4.916e+001	1.800e-005	38.559	4.067e-001	1.400e+002	
47	5209.7	3.0240e+001	9.545e-001	5.540e+009	1.717e-007	8.596e-003	2.646e-001	1.695e+001	8.598e-001	5.009e+001	3.159e-005	39.881	9.129e-001	1.752e+002	
48	3733.0	3.0210e+001	7.377e-001	5.970e+009	0.000e+000	7.629e-003	2.317e-001	1.997e+001	8.937e-001	5.887e+001	3.004e-005	46.375	7.333e-001	1.964e+002	
49	5443.8	3.0380e+001	8.620e-001	4.811e+009	0.000e+000	1.100e-002	2.304e-001	1.577e+001	8.229e-001	4.352e+001	2.917e-005	48.453	1.012e+000	1.859e+002	
50	4760.8	3.0140e+001	8.897e-001	5.632e+009	1.717e-007	1.179e-002	2.322e-001	1.690e+001	8.626e-001	5.358e+001	3.204e-005	57.963	8.972e-001	1.885e+002	
51	3769.1	3.0190e+001	6.287e-001	5.036e+009	1.202e-007	9.675e-003	2.319e-001	1.796e+001	8.612e-001	4.985e+001	2.439e-005	59.225	7.436e-001	1.973e+002	
52	4918.4	3.0120e+001	7.851e-001	4.808e+009	1.717e-007	1.042e-002	2.324e-001	1.366e+001	8.632e-001	4.408e+001	2.657e-005	49.967	9.541e-001	1.940e+002	
53	4149.0	3.0060e+001	6.741e-001	4.884e+009	2.698e-008	6.752e-003	2.329e-001	1.549e+001	8.649e-001	4.611e+001	2.432e-005	41.883	6.799e-001	1.639e+002	
54	3085.4	3.0130e+001	5.040e-001	4.921e+009	1.128e-007	6.136e-003	2.655e-001	1.971e+001	8.297e-001	4.865e+001	1.778e-005	47.959	5.631e-001	1.825e+002	
55	4406.3	3.0060e+001	7.602e-001	5.186e+009	0.000e+000	9.085e-003	2.329e-001	1.837e+001	8.649e-001	5.165e+001	2.933e-005	50.233	8.187e-001	1.858e+002	
56	3887.7	3.0130e+001	7.535e-001	5.839e+009	2.011e-007	9.197e-003	2.655e-001	2.057e+001	8.297e-001	5.476e+001	2.493e-005	52.771	7.799e-001	2.006e+002	
57	3953.2	3.0170e+001	7.239e-001	5.525e+009	6.867e-008	8.097e-003	2.320e-001	1.650e+001	8.618e-001	5.038e+001	2.509e-005	46.569	7.638e-001	1.932e+002	
58	5200.6	3.0080e+001	9.620e-001	5.564e+009	-6.377e-008	9.409e-003	2.660e-001	1.943e+001	8.644e-001	5.310e+001	3.424e-005	41.223	1.034e+000	1.988e+002	
59	4458.2	3.0170e+001	7.527e-001	5.094e+009	-9.811e-009	2.894e-003	2.320e-001	1.661e+001	8.618e-001	4.830e+001	2.741e-005	18.363	5.602e-001	1.257e+002	
60
61	4034.9	3.0280e+001	7.676e-001	5.761e+009	0.000e+000	9.433e-003	2.642e-001	2.334e+001	8.917e-001	5.921e+001	3.233e-005	52.972	7.839e-001	1.943e+002	
62	3503.2	3.0080e+001	6.034e-001	5.181e+009	3.213e-007	9.099e-003	2.327e-001	1.512e+001	8.644e-001	4.831e+001	2.121e-005	56.715	7.530e-001	2.149e+002	
63	2762.4	3.0100e+001	5.077e-001	5.532e+009	0.000e+000	4.306e-003	2.326e-001	2.237e+001	8.638e-001	5.700e+001	2.072e-005	37.608	4.856e-001	1.758e+002	
64	3722.9	3.0130e+001	6.518e-001	5.275e+009	1.741e-007	7.788e-003	2.655e-001	1.792e+001	8.629e-001	5.007e+001	2.312e-005	48.755	7.123e-001	1.913e+002	
65	3737.9	3.0140e+001	6.134e-001	4.946e+009	5.347e-007	5.761e-003	2.322e-001	1.706e+000	1.626e+000	6.483e+001	4.700e-005	38.388	6.642e-001	1.777e+002	
